EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010564885,VALDEZ JUNIOR RIFLE CLUB,% RAYMOND J HALLEY,PO BOX 3008,VALDEZ,AK,99686-3008,0000,03,3,1200,200305,1,15,000000000,5,01,201212,0,0,02,0,12,0,0,0,N99,
010578824,HALIES HOPE ORGANIZATION INC,% MICHAEL CHRISTENSEN,1150 S COLONY WAY STE 3 PMB 324,PALMER,AK,99645-6967,0000,03,3,1000,200205,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,H30,
010604986,PEER PROPERTIES AN ALASKAN NON-PROFIT CORPORATION,% JON WATKINS,4020 FOLKER ST,ANCHORAGE,AK,99508-5321,0000,03,3,1000,200207,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,L20,
010639455,PAVVA INUPIAQ DANCERS,% CHARLES SEAN TOPKOK,4783 DRAKE ST,FAIRBANKS,AK,99709-3009,0000,03,3,2000,200502,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A84,
010692933,REAL LIFE FOUNDATION,% MICHAEL HAMMER,1117 CHUGACH WAY APT 23,ANCHORAGE,AK,99503-5662,0000,03,3,1000,200403,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P60,
010704433,ALASKA MOBILITY COALITION,% KRISTIN LAMBERT,3705 ARCTIC BLVD,ANCHORAGE,AK,99503-5774,0000,03,3,1000,200209,1,15,000000000,1,01,201406,3,4,01,0,06,38237,275861,275861,W01,
010718551,CHURCH OF CHRIST AT WASILLA INC,% EDDIE MAXWELL,2630 N JASPER DR,WASILLA,AK,99654-3400,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010794721,TIKIGAQMIUT INCORPORATED,% DAVID STONE SR,1745 QALGI AVE,POINT HOPE,AK,99766-0000,0000,03,3,1000,200405,1,15,000000000,1,01,201406,6,4,01,0,06,2755953,102772,102772,L22,
010803059,VETERANS OF FOREIGN WARS DEPARTMENT OF ALASKA,% VFW POST 9785 MENS AUXILIARY,PO BOX 770266,EAGLE RIVER,AK,99577-0266,1733,04,9,3000,196504,0,00,000000000,5,01,201406,0,0,02,0,06,0,0,0,,9785 MENS AUXILIARY POST
010828753,LADY WOLVERINES SOCCER BOOSTER CLUB,% LEEANNE OSGOOD,18721 ENGLAND CIRCEL,ANCHORAGE,AK,99516-0000,0000,03,3,1000,200509,1,15,000000000,5,01,201412,0,0,02,0,12,0,0,0,B112,
010829469,MIR PARENTS,% MEG KIBLER,3500 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-1109,0000,03,3,1000,200510,1,15,000000000,0,01,201406,0,0,02,0,06,0,0,0,A23,
010856925,UNITED STATES BOWLING CONGRESS INC,% MARGUERITE DOWLING,3250 PALMER WASILLA HWY,WASILLA,AK,99654-7216,4348,03,9,1000,200409,1,16,000000000,1,01,201407,0,0,02,0,07,0,0,0,N70,82323 MAT-SU VALLEY USBC
010867530,MAT-SU MARTIN LUTHER KING JR FOUNDATION INC,% KIM MARIE WALKER,PO BOX 875754,WASILLA,AK,99687-5754,0000,03,3,1200,200701,1,15,000000000,1,01,201412,1,1,02,0,12,2330,1882,1882,B82,
010883680,THIS GENERATION MINISTRIES INC,,550 BEAVER BLVD,NORTH POLE,AK,99705-7650,0000,03,3,1700,200807,1,15,000000000,1,01,201312,4,4,01,0,12,144934,240013,221888,X20,
010896224,AMERICAN LEGION AUXILIARY,% AUDREY SAYLOR,1467 MULDOON RD,ANCHORAGE,AK,99504-2801,0964,19,9,1000,194610,2,00,319907000,5,01,201404,0,0,02,0,04,0,0,0,,29 MULDOON
010897800,CROSSCOUNTRY CHURCH,% MICHAEL BALOS,PO BOX 874376,WASILLA,AK,99687-4376,1610,03,9,7000,196312,1,10,001002000,5,01,,0,0,06,0,12,,,,,
010898666,ALASKA WRITERS GUILD,% JAMES MISKO,PO BOX 670014,CHUGIAK,AK,99567-0014,0000,03,3,1000,201010,1,03,000000000,1,01,201412,2,3,00,1,12,13173,40674,,B99,
010918184,BORE TIDE SWIM CLUB INC,% BRADLEY HARRIS,200 W 34TH AVE PMB 593,ANCHORAGE,AK,99503-3969,0000,03,3,1000,200906,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,N60,
010930462,MAT-SU COMMUNITY CHORUS,% NAN POTTS,PO BOX 1152,PALMER,AK,99645-1152,0000,03,3,1200,201008,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,A6B,
010932512,RENEW YOUR MIND,,123 E FIREWEED LANE SUITE 212,ANCHORAGE,AK,99503-2076,0000,03,3,1000,201503,1,15,000000000,1,01,201312,0,0,01,0,12,0,0,0,F22,NATHANIEL REDDICK OFFICER
