EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010520599,BLUE KNIGHTS MOTORCYCLE CLUB,% DOUGLAS LAMPLUGH,216 HEATHER LN,FAIRHOPE,AL,36532-7105,0000,10,3,1000,201402,2,00,000000000,5,01,201412,0,0,02,0,12,0,0,0,Y42,AL II
010550415,NEW HOPE OUTREACH MINISTRIES,% HILDA HENDERSON,1000 HENDERSON RD NW,HUNTSVILLE,AL,35816-3512,0000,03,3,7000,200608,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010550656,HEALTH AND WELLNESS EDUCATIONAL CENTER,,PO BOX 1247,LIVINGSTON,AL,35470-1247,0000,03,3,1000,201503,1,15,000000000,5,01,201012,1,4,01,0,12,4000,142000,142000,E60,
010552873,MARK HOWARD CEMETERY,% THOMAS HOWARD,306 POPLAR ST,PRATTVILLE,AL,36066-5353,0000,13,3,1000,200206,1,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,Y50,
010553690,THURBER FAMILY FOUNDATION INC,% ELEANOR B THURBER,2414 COVEMONT DR SE,HUNTSVILLE,AL,35801-2259,0000,03,3,1000,200210,1,04,000000000,1,01,201412,6,5,00,1,12,1020050,655269,,T22,
010553749,TARRANT EDUCATION FOUNDATION,% EVA HOBSON,PO BOX 170745,BIRMINGHAM,AL,35217-0745,0000,03,3,1000,200204,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B112,
010553804,HARRIS BARRETT SCHOOL INC,% MEMPHIS BOSTON,1755 COUNTY ROAD 27,TUSKEGEE,AL,36083-3600,0000,03,3,2000,200605,1,15,000000000,1,01,201309,0,0,02,0,09,0,0,0,A80,
010554023,FAIRHOPE CAT COALITION INC,% GLENDA B TURNER,104 ASHTON CT,FAIRHOPE,AL,36532-3334,0000,03,3,1000,200204,1,16,000000000,1,01,201412,4,4,01,0,12,164202,141398,136365,D20,
010554678,RESTORING HOPE MINISTRIES,% LAWRENCE JACKSON,1424 ROLLING RIDGE CIR,PLEASANT GRV,AL,35127-3530,0000,03,3,1700,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010563151,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% ZACKIE CARPENTER JR,3004 LENOX DR SW,DECATUR,AL,35603-2912,1495,19,9,1000,196008,1,00,908907000,5,01,201306,0,0,01,0,12,0,0,0,,2212 CHAPTER
010569248,GREG CROWE MINISTRIES INC,,14042 PHARES HINTON RD,TUSCALOOSA,AL,35405-9587,0000,03,3,7000,200207,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,X21,
010573502,COMMUNITY EMPOWERMENT DEVELOPMENT INC,% EFFELL WILLIAMS,PO BOX 969,SELMA,AL,36702-0969,0000,03,3,1200,200209,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,O50,
010588717,MARSHALL COUNTY EDUCATION FOUNDATION,% RENEE TERRELL,12380 US HIGHWAY 431,GUNTERSVILLE,AL,35976-9351,0000,03,3,1000,200308,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,B112,
010602039,ALABAMA COUNCIL OF ASSOCIATION WORKERS COMPENSATION SELF INSURERS,% RUSSELL DAVIS,7515 HALCYON SUMMIT DR STE 200,MONTGOMERY,AL,36117-7017,0000,06,3,1000,200406,2,00,000000000,5,01,201412,0,0,02,0,12,0,0,0,Y99,
010603338,LIVING WATERS TABERNACLE,% WILLIAMS RICKY,220 BARTON ST,ANDALUSIA,AL,36420-2610,0000,03,3,7000,200310,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,
010603764,GLORIOUS CHANGES CHURCH,% EARL WOOD,PO BOX 83,PHENIX CITY,AL,36868-0083,0000,03,3,7000,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010605439,BAMA BOMBERS BASEBALL INC,% GREGORY A LEGG,PO BOX 219,ELKMONT,AL,35620-0219,0000,03,3,1200,200204,1,16,000000000,1,01,201312,1,3,02,0,12,9104,25345,25345,N63,
010606750,ALABAMA COMMUNITIES OF EXCELLENCE,% SIDNEY HOOVER,1854 LAKE RIDGE RD,BIRMINGHAM,AL,35216-1638,0000,03,3,1000,200302,1,15,000000000,1,01,201312,3,3,01,0,12,97220,64469,64469,S30,
010612977,E-MIN GLOBAL MINISTRIES INC,,PO BOX 559,HAYDEN,AL,35079-0559,0000,03,3,7000,200308,1,15,000000000,1,01,201312,3,3,01,0,12,84388,94003,94003,X20,VAUGHN G RANDALL
010614980,HEALING WATERS MINISTRIES,% PAS GARY & MARGARE STALLINGS,2415 CARTERS GIN RD,TONEY,AL,35773-9730,3317,03,9,7000,199112,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010620454,J BRUCE & ROSE W BEVERIDGE FOUNDATION,% HAMILTON C SMITH,2410 HAND AVE,BAY MINETTE,AL,36507-4121,0000,03,3,1000,200401,1,04,000000000,2,01,201412,6,7,00,1,12,4139693,6372227,,T22,
010633374,NATIONAL SOCIETY OF BLACK ENGINEERS,% MARTIN BEEMAN,PO BOX 210176,MONTGOMERY,AL,36121-0176,8275,03,9,1200,198801,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,,2318 MONTGOMERY PROFESSIONALS
010633818,UNITED CHRISTIAN OUTREACH GERMANY INC,% PAUL KIEFFER,3555 WOOLEY RD,MOBILE,AL,36693-5255,0000,03,3,1700,200209,1,15,000000000,1,01,201412,2,3,02,0,12,22634,27959,27959,X20,
010633893,JAMES MOOR EVANGELISTIC ASSOCIATION,% JAMES H MOORE,241 WILLOW VIEW CIR,WILSONVILLE,AL,35186-5405,0000,03,3,1270,200212,1,15,000000000,1,01,201412,3,2,02,0,12,71404,21164,21164,X20,
010641226,PAUL OUTREACH SERVICES INC,% STEPHANIE ANN PAUL,PO BOX 82,MONTGOMERY,AL,36101-0082,0000,03,3,1000,200211,1,16,000000000,1,01,201412,7,7,01,0,12,6404555,6555710,6555710,P20,
010649656,JOE BEASLEY MEMORIAL FOUNDATION INC,% SARAH BEASLEY SMITH,431 WOODLAND ROAD,BESSEMER,AL,35020-0000,0000,03,3,1000,200206,1,15,000000000,1,01,201412,4,1,02,0,12,272098,9622,9622,A68,
010651075,KINGDOM RESOURCE AND DEVELOPMENT INC,% KINGDOM RESOURCE AND DEVELOPMENT,PO BOX 782,BREWTON,AL,36427-0782,0000,03,3,1000,200306,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,J20,
010651449,SERENE LIGHT INC,% JUNE SAMUEL,1216 BIBB ST,TUSKEGEE INST,AL,36088-2354,0000,03,3,1000,200209,1,15,000000000,1,01,201412,1,1,02,0,12,2196,7209,7209,E70,
010665015,SPECIAL NEEDS FOUNDATION OF BLOUNT COUNTY,% JANICE BAKER,5 GRANDVIEW DR,ONEONTA,AL,35121-1951,0000,03,3,1000,200407,1,15,000000000,1,01,201409,0,0,02,0,09,0,0,0,F11,
010667832,HEALING THE NATIONS,% MICHAEL INGLE,51 GLENDA CIR,SUMITON,AL,35148-3634,0000,03,3,7000,200410,1,10,000000000,1,01,200912,1,3,06,0,12,3551,42307,42307,X21,
010671566,LITTLE ROCK CHURCH OF ASSEMBLIES OF THE LORD JESUS CHRIST,% MYRTLE STEWARD,9420 ROBINSONVILLE RD,ATMORE,AL,36502-0000,8067,03,9,1000,196007,1,10,001000000,1,01,,0,0,06,0,03,,,,,
010680401,HOPE HEALTH CENTER INC,% KARL POYTHRESS TREAS,4614 CARNEGIE AVE,FAIRFIELD,AL,35064-1430,0000,03,3,1000,200210,1,15,000000000,1,01,201406,5,4,01,0,06,807454,376868,376868,E30,
010704661,SAFE HARBOR OUTREACH CENTER INC,% GREG D MELVIN,PO BOX 681904,PRATTVILLE,AL,36068-1904,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010716363,CRIMSON PATH SOCIETY INC,% PATRICK R SAUCER,7200 COTTONWOOD RD LOT 22,DOTHAN,AL,36301-8453,0000,03,3,7000,200307,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,X99,
010718296,OPELIKA HOUSING DEVELOPMENT INC,% AKINOLA POPOOLA,PO BOX 268,OPELIKA,AL,36803-0268,0000,03,3,1000,200310,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,L20,
010729785,LIMESTONE COUNTY PARTNERSHIP FOR CHILDREN INC,% CAROLINE PAGE,PO BOX 761,ATHENS,AL,35612-0761,0000,03,3,1000,200609,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010732063,ST JAMES BAPTIST CHURCH EASTLAKE ALABAMA,% JOHN DANSBY,7309 OPORTO AVE,BIRMINGHAM,AL,35206-5322,0000,03,3,7000,200312,1,10,000000000,1,01,,0,0,06,0,10,,,,X21,
010740806,CHRISTIAN METHODIST EPISCOPAL CHURCH,% REX BELL,1000 GRANT TOWN RD,MUNFORD,AL,36268-0000,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,SPRING HILL CME CHURCH
010741308,ALLIANCE OF DIVINE LOVE INC,% REV MARJORIE BERMUDEZ,200 GRANTHAM CIR,MADISON,AL,35756-6009,3054,03,9,7000,197702,1,10,001000000,5,01,,0,0,06,0,12,,,,,1351 ALLIANCE OF DIVINE LOVE CHAPEL
010742029,PATHWAY TO LIFE IN CHRIST MINISTRIES,% MARTHA BONAM,101 PALMER STREET 1,BREWTON,AL,36426-1921,0000,03,3,7100,200608,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010744190,WOMEN IN CRISIS OUTREACH MINISTRY,% WANDA RANDOLPH,1907 BATAAN AVE,MOBILE,AL,36610-3606,0000,03,3,1000,200401,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,L41,
010754692,BLOUNT COUNTY CASA ASSOCIATION INC,% BARBARA ANDERSEN,818 MOUNTAIN VIEW DR,ONEONTA,AL,35121-2467,0000,03,3,1000,200302,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,I70,
010760544,WATERFRONT VOLUNTEER FIRE DEPARTMENT INC,% RICHARD ALFIERO,5515 SCOTTSBORO HWY,SCOTTSBORO,AL,35769-9333,0000,03,3,1000,200302,1,15,000000000,1,01,201412,4,3,02,0,12,145724,27158,27158,M24,
