EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010421753,REAL J DAIGLE EVANGELISTIC CORPORATION,,PO BOX 78238,TUCSON,AZ,85703-8238,0000,03,3,1000,198909,1,16,006007000,1,01,201412,4,4,01,0,12,110155,119995,119995,Q330,
010468410,DIANA SYLVESTER SCHOLARSHIP FUND,% HENRY B SYLVESTER,9341 E PLACITA MIMOSA,TUCSON,AZ,85749-9214,0000,03,3,1000,199207,1,04,040000000,5,01,201412,1,1,00,1,12,1017,1,,,
010538668,NOVA ROMA,% ROBERT WOOLWINE,1241 N 48TH ST APT 110,PHOENIX,AZ,85008-5916,0000,03,3,1000,200102,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,A80,
010568831,STROKE CHECK,% SCOTT AGRAN,6226 E CHOLLA ST,SCOTTSDALE,AZ,85254-4951,0000,03,3,1200,201405,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,E99,
010569967,COCHISE HEALTH NETWORK,% JULIE SCHOURUP MPH,2174 W OAK AVE,DOUGLAS,AZ,85607-6003,0000,03,3,2000,200408,1,15,000000000,1,01,201309,1,3,02,0,09,1844,49926,49926,E60,
010574137,YUMA SOUTHWEST CONTRACTORS ASSOCIATION,,350 W 16TH ST 207,YUMA,AZ,85364-4643,0000,06,3,2000,200305,2,00,000000000,1,01,201412,4,4,01,0,12,191020,225909,225909,S41,
010579687,FRIENDS OF PUBLIC RADIO ARIZONA,% SUSAN EDWARDS,2323 WEST 14TH STREET,TEMPE,AZ,85281-6948,0000,03,3,1200,200203,1,15,000000000,1,01,201406,8,7,01,0,06,10180025,5093984,4959230,A11,
010601839,WHITE MOUNTAIN WOMANS CLUB OF ARIZONA GFOWC,% KAREN WOLF,PO BOX 1386,LAKESIDE,AZ,85929-1386,0000,03,3,1000,200602,1,15,000000000,5,01,201412,3,2,02,0,12,36582,23448,15919,T50,
010614774,SANTAS CHILDREN,% JOANN MALONE,26847 N 97TH LN,PEORIA,AZ,85383-2932,0000,03,3,1000,200206,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B99,
010618606,NEVADA SIGN ASSOCIATION SOUTHERN DIVISION,% JOHN WILLIAMS,17235 N 75TH AVENUE,GLENDALE,AZ,85308-0831,0000,06,3,1000,200310,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,S41,
010622545,DETOUR COMPANY THEATER INC,% SAM,PO BOX 15067,PHOENIX,AZ,85060-5067,0000,03,3,2000,200307,1,15,000000000,1,01,201412,3,4,01,0,12,93016,151224,151224,P82,
010627091,WILLCOX AMERICAN LEGION POST 20,,PO BOX 819,WILLCOX,AZ,85644-0819,0925,19,9,1000,194603,0,00,907908000,5,01,201412,0,0,02,0,12,0,0,0,,20 WILLCOX POST
010637750,ARIZONA ADVOCACY NETWORK INC,,3117 N 16TH ST STE 120,PHOENIX,AZ,85016-7678,0000,04,3,3000,200211,2,00,000000000,1,01,201412,3,5,01,0,12,70557,997266,969008,R01,
010637797,IMMANUEL CAMPUS OF CARE,% WATERMARK RETIREMENT COMMUNITIES,2020 W RUDASILL RD,TUCSON,AZ,85704-7800,0000,03,3,1000,200404,1,17,000000000,1,01,201312,1,0,02,0,12,261,0,0,T113,
010640326,AHWATUKEE CHILDRENS THEATRE INC,,5051 E ELLIOT RD,PHOENIX,AZ,85044-1714,0000,03,3,1000,200204,1,16,000000000,1,01,201412,3,4,01,0,12,56784,339801,333426,A65,
010645414,SOUTHERN ARIZONA ARTS GUILD,% PRESIDENT,PO BOX 69941,TUCSON,AZ,85737-0024,0000,03,3,1000,200301,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B90,
010646242,ARIZONA BEAGLE RESCUE,% LAURA JONLAND,PO BOX 61193,PHOENIX,AZ,85082-1193,0000,03,3,1200,200309,1,15,000000000,1,01,201312,2,3,01,0,12,20792,85864,85112,D20,
010654498,GOSPEL 4 KIDS INC,% DAVID E EVANS,PO BOX 7477,SURPRISE,AZ,85374-0107,0000,03,3,1700,200209,1,15,000000000,1,01,201312,1,3,01,0,12,5516,77461,77461,X20,
010662899,SAVING ANIMALS FROM EUTHANASIA,% REAGEN A KULSETH,3661 N CAMPBELL AVE 220,TUCSON,AZ,85719-1527,0000,03,3,4000,200206,1,15,000000000,1,01,201312,3,3,01,0,12,92259,98503,98503,D20,
010663753,SCOTTDALE MANNAM PRESBYTERIAN CHURCH,% HEASIL HAUSER,3002 W GLENHAVEN DR,PHOENIX,AZ,85045-2241,0000,03,3,7000,200206,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010663847,GROSSMAN FAMILY FOUNDATION,,3101 N CENTRAL AVE STE 1390,PHOENIX,AZ,85012-2688,0000,03,3,1000,200309,1,04,000000000,1,01,201411,1,1,00,1,11,1,1,,T20,CROW W MATTHEW
010664071,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,% STEFFANY K KNIRSCH TREASURER,12335 N 58TH AVE,GLENDALE,AZ,85304-1850,1050,03,9,1200,194907,1,16,000000000,5,01,201412,0,0,02,0,12,0,0,0,,ASTHON SOSI DAR
010682653,FRIENDS OF MARTY BIRDMAN CENTER,% DORIS HABICH,6717 S DOWNING AVE,TUCSON,AZ,85756-9458,0000,03,3,1000,200402,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,N12,
010684581,KNIGHTS OF COLUMBUS OUR LADY OF CLAIRVAUX COUNCIL 12313,,11445 E VIA LINDA STE 2 PMB 321,SCOTTSDALE,AZ,85259-2654,0000,08,3,1000,201506,1,00,036029265,5,01,201106,0,0,01,0,06,0,0,0,,
010694178,PTA ARIZONA CONGRESS OF PARENTS & TEACHERS INC,% SANDRA SISSON,2701 W MEMORIAL DR,ANTHEM,AZ,85086-4955,1582,03,9,1000,196306,1,16,059000000,1,01,201306,0,0,02,0,06,0,0,0,,GALIVAN PEAK PTA
010702652,CAFA INC,% EVELYN TAYLOR,4055 E WARNER RD,GILBERT,AZ,85296-0927,0000,03,3,2000,200505,1,11,000000000,1,01,201406,4,7,01,0,06,359974,7396488,7396488,B29,CLASSIC AND FOUR ARTS ACADEMY
010720556,MESA ANGELS FOUNDATION INC,% CHRIS PAPPAIOANOU,410 N 44TH ST STE 700,PHOENIX,AZ,85008-7608,0000,03,3,1000,200209,1,15,000000000,1,01,201409,4,2,02,0,09,169596,12051,12051,M20,
010725431,TREASURES 4 TEACHERS INC,,3025 S 48TH ST STE 101,TEMPE,AZ,85282-3136,0000,03,3,2000,200302,1,16,000000000,1,01,201312,3,5,01,0,12,87349,636038,378044,B80,
010740158,CHINO VALLEY LIONS FOUNDATION INC,% EMILIO LUJAN,PO BOX 770,CHINO VALLEY,AZ,86323-0770,0000,03,3,1000,200301,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,P28,
010749446,FALLEN FEATHERS RESCUE REHABILITATION & EDUCATION CORP,% JOANNE KIERAN,9532 W CIELO GRANDE,PEORIA,AZ,85383-1104,0000,03,3,1000,201407,1,15,000000000,1,01,201312,1,1,02,0,12,7820,7854,7854,D20,
010752542,COVENANT CHILD CARE CENTER,% EVELYN JOHNSON,PO BOX 80847,PHOENIX,AZ,85060-0847,2650,03,9,7000,197507,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010766673,MOHAVE ACCELERATED MIDDLE SCHOOL INC,% VICKIE CHRISTENSEN,625 MARINA BLVD,BULLHEAD CITY,AZ,86442-5414,0000,03,3,2000,200409,1,11,000000000,1,01,201412,0,0,02,0,12,0,0,0,B20,
010783590,FOUR PEAKS WOMANS CLUB,% JEAN LINZER,16142 E GLENPOINT DR,FOUNTAIN HLS,AZ,85268-3116,0000,04,3,1000,200307,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,P20,
010794397,EASTERN PINAL REGIONAL COALITION AGAINST DOMESTIC VIOLENCE,% LINDA L KADLECEK,212 E 5TH ST,SAN MANUEL,AZ,85631-1406,0000,03,3,1000,200706,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,I70,
010820836,ARIZONA PHARMACY ALLIANCE INC,,1845 E SOUTHERN AVE,TEMPE,AZ,85282-5831,0000,06,3,2000,200703,2,00,000000000,1,01,201409,4,5,01,0,09,444256,736996,736996,S41,
010821315,BENSON CLEAN & BEAUTIFUL,,168 E 4TH ST,BENSON,AZ,85602-6610,0000,03,3,1000,201407,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,S20,
010823631,VINE OF GRACE RETREAT MINISTRY INC,% ERIN C BLANCHETTE,4137 N CALLE BARTINEZ,TUCSON,AZ,85750-6164,0000,03,3,7000,200510,1,15,000000000,1,01,201312,2,4,01,0,12,10280,102644,102644,X20,
010831678,ALLIANCE FOR PERFORMANCE EXCELLENCE INC,% ARIZONA QUALITY ALLIANCE,3961 E CHANDLER RD 111-334,PHOENIX,AZ,85048-0303,0000,03,3,2000,200609,1,15,000000000,1,01,201412,3,3,01,0,12,88416,73037,73037,S99,
010832741,MARICOPA YOUTH FOOTBALL INC,% JOEL GRIFFIN,20928 N JOHN WAYNE PARKWAY 302,MARICOPA,AZ,85139-2922,0000,03,3,1200,200803,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,N65,
010842721,GRACE APOSTOLIC FELLOWSHIP,% GEORGE ONG,4408 E HEARN RD,PHOENIX,AZ,85032-5539,0000,03,3,7000,200612,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010843858,CARRICK MINISTRIES FOUNDATION INC,% JULIE CARRICK,PO BOX 13896,SCOTTSDALE,AZ,85267-3896,0000,03,3,1000,200602,1,15,000000000,1,01,201312,3,3,01,0,12,31981,98242,98242,X20,
010851317,WEALTH OF WELLNESS INC,% SIRI KHALSA,809 N 5TH AVE UNIT 223,PHOENIX,AZ,85003-1391,0000,03,3,1000,200704,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P50,
010860751,AMERICAN LEGION AUXILIARY,,PO BOX 1603,PRESCOTT,AZ,86302-1603,0964,19,9,1000,194610,1,00,319907000,5,01,201409,0,0,02,0,09,0,0,0,,6 ERNEST A LOVE
010871109,JEWISH WAR VETERANS OF THE UNITED STATES OF AMERICA INC,% MELVIN BRODY,8989 N GAINEY CENTER DR UNIT 146,SCOTTSDALE,AZ,85258-2114,0973,04,9,3100,194611,0,00,000000000,1,01,201406,0,0,02,0,06,0,0,0,,210 SCOTTSDALE POST
010872301,COMMUNITY RENEWAL INC,% RANDALL REYNOLDS,631 N 2ND AVE,TUCSON,AZ,85705-7801,5600,03,6,1000,200911,1,15,000000000,1,01,201406,3,4,01,0,06,58189,123774,123774,X90,
010874957,NEW DIMENSION MINISTRIES,% WILLIAM F DIXON,PO BOX 1165,CORTARO,AZ,85652-1165,0000,03,3,7000,200707,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010876916,SOMANLI AMERICAN UNITED COUNCIL OF ARIZONA,% C/O MOHAMED ALI ABUKAR PHD,2425 E THOMAS RD STE 11,PHOENIX,AZ,85016-7944,0000,03,3,1200,200801,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,J20,
010877082,ARIZONADOPT A CLASSROOM,% JUDY NAGLE,PO BOX 14496,TUCSON,AZ,85732-4496,0000,03,3,2000,200701,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B12,
010877871,MARACOPA COUNTY SHERIFFS COLD CASE POSSE INC,,11421 N 40TH PL,PHOENIX,AZ,85028-2252,0000,03,3,1000,200707,1,16,000000000,1,01,,0,0,14,0,12,,,,B90,
010879097,LITCHFIELD PARK SCOUT LODGE PRESERVATION,% MEREDETH STUCKY,610 N OLD LITCHFIELD RD,LITCHFIELD PK,AZ,85340-4333,0000,03,3,1000,200704,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A80,
010882371,SHERIFFS OFFICE LEAGUE OF VOLUNTEERS,,PO BOX 6839,YUMA,AZ,85366-2539,0000,03,3,6000,200908,1,15,000000000,1,01,201212,3,3,02,0,12,26836,44313,43825,W24,YUMA COUNTY SHERIFFS POSSE
010887630,ARIZONA PETROLEUM MARKETERS ASSOCIATION SCHOLARSHIP FOUNDATION,% WILLIAM AUST,PO BOX 44536,PHOENIX,AZ,85064-4536,0000,03,3,1000,200808,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,B82,APMA SCHOLARSHIP FOUNDATION
010889199,BRADSHAW MOUNTAIN HIGH SCHOOL CONNECTION,% BETH TURNER TREA,6000 E LONG LOOK DR,PRESCOTT VLY,AZ,86314-2253,0000,03,3,2000,200911,1,15,000000000,1,01,201406,3,4,01,0,06,54827,107843,107843,B11,
010890179,INTERNATIONAL CRUISE VICTIMS ASSOCIATION INC,% INTERNATIONAL CRUISE VICTIMS ASSO,4747 E ELLIOT ROAD,PHOENIX,AZ,85044-1627,0000,03,3,1000,200903,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P50,
010892450,SCOTT HELPING CHILDREN,% COLLEEN WALSKI,PO BOX 4927,CAVE CREEK,AZ,85327-4927,0000,03,3,1000,200908,1,15,000000000,1,01,201312,2,4,01,0,12,18534,106742,95381,O11,
010893750,MASTERPIECE ART PROGRAM OF FLAGSTAFF,% KELLY,PO BOX 854,FLAGSTAFF,AZ,86002-0854,0000,03,3,2000,200710,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,A25,
010895174,CHANDLER SOCCER ACADEMY,,3971 E LEO PL,CHANDLER,AZ,85249-5881,0000,03,3,1200,200711,1,16,000000000,1,01,201404,0,0,02,0,04,0,0,0,N64,
