EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010282855,B M CLARK FOUNDATION,,133 WESTVIEW DR,MERIDEN,CT,06450-4763,0000,03,3,1000,197009,1,04,040000000,1,01,201312,3,3,00,1,12,50592,42953,,,
010366432,WESTERN CONNECTICUT CHAPTER NATIONAL RAILWAY HISTORICAL SOCIET,% KEVIN FEENEY TREASURER,77 WASHINGTON ST,NORWALK,CT,06854-3086,0000,03,3,2000,198003,1,16,119299000,1,01,201403,3,2,02,0,03,58436,15080,12563,,
010371179,GOVERNOR JAMES B LONGLEY SCHOLARSHIP FOUNDATION TRUST,% NORMAN HANSON & DETROY LLC,850 MAIN ST RC 13-505,BRIDGEPORT,CT,06604-4917,0000,03,3,1000,000000,1,04,000000000,5,01,201408,4,3,00,1,08,239684,44857,,,KATHRYN M LONGLEY-LEAHY
010441043,COURI FOUNDATION INC,,164 RAMAPOO RD,RIDGEFIELD,CT,06877-3732,0000,03,3,1000,198907,1,03,000000000,1,01,201412,6,5,00,1,12,2388111,959250,,,
010441453,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,% ANNA MARIE DUVAL,1060 SHELDON ST,WEST SUFFIELD,CT,06093-3516,0735,05,9,3000,194411,2,00,263000000,5,01,201412,0,0,02,0,12,0,0,0,,222-38 UE LOCAL
010449148,SOCIETY OF WOMEN ENGINEERS,% CHERIE FRAZER CAIN,105 LEXINGTON RD,GLASTONBURY,CT,06033-1286,9225,03,9,1000,199209,1,15,040000000,5,01,201412,0,0,02,0,12,0,0,0,,NEW ENGLAND REGION
010538112,WATOTO CHARITABLE TR,% TREASURER PETER HARVEY,1364 ROCK RIMMON RD,STAMFORD,CT,06903-1104,0000,03,3,1000,200103,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,T30,
010563865,WEST HAVEN CHURCH OF CHRIST INC,% WILLIAM BOWLING SR,PO BOX 4416,HAMDEN,CT,06514-0416,0000,03,3,7000,200409,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010566395,BUILDERS BEYOND BORDERS,,66 FORT POINT STREET,NORWALK,CT,06855-1217,0000,03,3,1000,200302,1,16,000000000,1,01,201406,5,6,01,0,06,736081,1330164,1055609,P30,
010575025,TEMPLE OF PRAISE CHURCH OF CHRIST OF THE APOSTOLIC FAITH INCORPORATE,% DANIEL WADE,21 GRACE AVE,WATERBURY,CT,06710-1019,0000,03,3,2700,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
