EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010123106,MORNING STAR BAPTIST CHURCH,,3204 BROTHERS PL SE,WASHINGTON,DC,20032-1501,1961,03,9,7000,196811,1,10,029000000,5,01,,0,0,06,0,12,,,,,
010466768,AMERICAN UNIVERSITY IN BULGARIA,,910 17TH ST NW STE 1100,WASHINGTON,DC,20006-2619,0000,03,3,2000,199209,1,11,030000000,1,01,201406,8,6,01,0,06,35193000,3650000,3650000,Q300,
010491403,SMITH COLLEGE CLASS OF 1994,% ROBERTA A RITVO,1875 MONROE ST NW,WASHINGTON,DC,20010-1014,0000,03,3,1000,199503,1,16,034000000,5,01,201406,0,0,02,0,06,0,0,0,B84Z,
010547837,PHI BETA KAPPA SOCIETY,% MAINE ASSOCIATION--PBK SOCIETY,1606 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,201407,0,0,02,0,07,0,0,0,,MAINE ASSOCIATION
010551639,REVELATION KNOWLEDGE CHRISTIAN CHURCH,% PASTOR YVETTE W ROSS,1108 5TH ST NW,WASHINGTON,DC,20001-3606,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010554700,PEACE CORPS FOUNDATION,% BONNIE GOTTLIEB,3601 CONNECTICUT AVE NW,WASHINGTON,DC,20008-2406,0000,03,3,1200,200202,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A80,
010557727,NABOB TELECOMMUNICATIONS EDUCATION AND MANAGEMENT FOUNDATION,% JAMES L WINSTON,1201 CONNECTICUT AVE NW STE 200,WASHINGTON,DC,20036-2636,0000,03,3,2100,200205,1,15,000000000,1,01,201312,2,2,02,0,12,21655,21500,21500,S40,
010564259,FREEMUSLIM ASSOCIATION INC,% MOHAMMAD T AKHOND,1050 17TH ST NW STE 800,WASHINGTON,DC,20036-5514,0000,03,3,1000,200211,1,15,000000000,1,01,201412,3,4,01,0,12,36763,335337,335337,X40,
010570343,NORTH LINCOLN PARK NEIGHBORHOOD ASSOCIATION,% ELIZABETH NELSON,1330 N CAROLINA AVE NE,WASHINGTON,DC,20002-6424,0000,03,3,1000,200207,1,16,000000000,1,01,201502,0,0,02,0,02,0,0,0,C50,
010572370,PHI BETA KAPPA SOCIETY,% BOSTON ASSOCIATION--PBK SOCIETY,1606 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,201407,0,0,02,0,07,0,0,0,,ALPHA OF MASSSCHUSETTS ASSOCIATION
010579796,AMERICA ABROAD MEDIA,,1701 PENNSYLVANIA AVE NW STE 300,WASHINGTON,DC,20006-5813,0000,03,3,1000,200206,1,15,000000000,1,01,201212,6,6,01,0,12,1062576,4051292,4051292,A34,
010581980,GEDE FOUNDATION INC,% JENNIFER DOUGLAS ABUBAKAR,JENNIFER DOUGLAS ABUBAKAR,WASHINGTON,DC,20006-0000,0000,03,3,1000,200207,1,15,000000000,1,01,201312,4,6,01,0,12,446235,1233540,1233540,Q30,
010583568,NURMI FAMILY FOUNDATION,% THOMAS NURMI,3025 UNIVERSITY TER NW,WASHINGTON,DC,20016-3462,0000,03,3,1000,200203,1,04,000000000,1,01,201412,5,5,00,1,12,819107,566136,,T22,NURMI THOMAS D PRES
010588381,DISTRICT OF COLUMBIA CHAMBER OF COMMERCE FOUNDATION,% RUSSELL SIMMONS,506 9TH ST NW,WASHINGTON,DC,20004-2181,0000,03,3,1200,200305,1,15,000000000,1,01,201309,3,4,01,0,09,76699,262408,262408,S43,
010593565,THE ONE CAMPAIGN,% KENNETH WEBER,1400 EYE STREET NW STE 600,WASHINGTON,DC,20005-6517,0000,03,3,2000,200207,1,16,000000000,1,01,201312,8,8,01,0,12,42711453,49254131,25118927,Z99,
010616118,UNITED FOR D C INC,% RFK STADIUM,2400 EAST CAPITOL STREET SE,WASHINGTON,DC,20003-0000,0000,03,3,1000,200205,1,15,000000000,1,01,201212,4,4,01,0,12,334429,477006,438360,O50,
010621392,PIZZAZZ,% PIZZAZZ,2520 10TH STREET NE,WASHINGTON,DC,20018-1740,0000,03,3,1000,200304,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,J20,
010669150,GRANTMAKERS FOR EFFECTIVE ORGANIZATIONS,% ENRIGHT KATHLEEN,1725 DESALES STREET NW,WASHINGTON,DC,20036-4406,0000,03,3,2100,200207,1,15,000000000,1,01,201412,6,6,01,0,12,3632749,3079765,3079765,T02,
010678163,FOREST HILLS NEIGHBORHOOD ALLIANCE INC,% DENISE WARNER,4451 29TH ST NW,WASHINGTON,DC,20008-2307,0000,03,3,1000,200206,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A80,
010680416,NATIONAL ALLIANCE OF POSTAL AND FEDERAL EMPLOYEES,% WILBUR DUNCAN,1640 11TH ST NW,WASHINGTON,DC,20001-5008,0913,05,9,3000,194512,2,00,263264279,5,01,201412,0,0,02,0,12,0,0,0,,810 LOCAL
010682859,MUTUAL FUND DIRECTORS FORUM,,1501 M ST NW STE 1150,WASHINGTON,DC,20005-1772,0000,03,3,2000,200304,1,16,000000000,1,01,201406,6,6,01,0,06,2761094,1900880,1900880,B99,
010688590,NATIONAL COALITION FOR HISTORY,% LELAND WHITE,400 A ST SE,WASHINGTON,DC,20003-3807,0000,03,3,1000,200210,1,15,000000000,1,01,201312,4,4,01,0,12,197926,187314,187314,A80,
010706225,WITH-IN WITH-OUT THE CIRCLE INC,% MARIA BARRERA,455 MASSACHUSETTS AVENUE NW 148,WASHINGTON,DC,20001-2621,0000,03,3,7000,200703,1,15,000000000,1,01,201505,0,0,02,0,05,0,0,0,X99,
010712951,PAUL LAURENCE DUNBAR HIGH SCHOOL CONVOCATION & ALUMNI FEDERATION,% JAMES E PITTMAN,PO BOX 60714,WASHINGTON,DC,20039-0714,0000,03,3,1200,200307,1,15,000000000,1,01,201212,4,3,01,0,12,,,,B84,DUNBAR ALUMNI FEDERATION
010715614,DISTRICT OF COLUMBIA VOLUNTARY ORGANIZATIONS ACTIVE IN DISASTER,% SUSAN TAYLOR,1701 20TH ST NW,WASHINGTON,DC,20009-1104,0000,03,3,1000,200308,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,M20,
010722919,PHI BETA KAPPA SOCIETY,% NASHVILLE ASSN - PBK SOCIETY,1606 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,201412,0,0,02,0,12,0,0,0,,NASHVILLE ASSOCIATION
010728162,COALITION OF COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS INC,% LANA CHAPMAN,1331 G ST NW STE 10TH FL,WASHINGTON,DC,20005-3101,0000,03,3,1000,200208,1,15,000000000,1,01,201312,4,4,00,0,12,201311,244929,244929,S023,
010743607,CHARITABLE FOUNDATION OF THE ENERGY BAR ASSOCIATION,% LORNA WILSON,2000 M ST NW STE 715,WASHINGTON,DC,20036-3327,0000,03,3,1000,200210,1,15,000000000,1,01,201412,3,4,01,0,12,54094,105314,85772,T30,
010751046,SPECTEMUR AGENDO INC,% STEWART R MOTT,122 MARYLAND AVE NE,WASHINGTON,DC,20002-5610,0000,03,3,1000,200711,1,04,000000000,1,01,201412,7,7,00,1,12,9634407,5628159,,T20,
