EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548657,KUEHNER BROTHERS FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200303,1,04,000000000,1,01,201412,4,1,00,1,12,461632,3531,,T20,
010592853,COLLABORATIVE EFFORT TO REINFORCE TRANSITION SUCCESS INC,% JOHN A JADACH,1501 CASHO MILL RD STE 1,NEWARK,DE,19711-3500,0000,03,3,2000,200401,1,15,000000000,1,01,201406,6,6,01,0,06,1223139,1106872,1099692,B90,
010620485,STAR KIDS INC,% FRANCIS J NORRIS,PO BOX 161,ROCKLAND,DE,19732-0161,0000,03,3,1000,200211,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,T70,
010652445,RODNEY STREET TENNIS ASSOCIATION,% HARRY SHUR,41 PALADIN DR,WILMINGTON,DE,19802-1702,0000,03,3,2000,200401,1,16,000000000,1,01,201312,4,4,01,0,12,130868,372137,343727,N66,
010667483,COLUMBIETTES INCORPORATED SUPREME COUNCIL,% ANN FISCHER,3975 LEIPSIC RD,DOVER,DE,19901-2924,3060,10,9,1000,197709,2,00,260000000,5,01,201412,0,0,02,0,12,0,0,0,,4182 DOVER AUX
010668771,SERVIAM MEDIA INC,% SHARON BAKER,PO BOX 7769,WILMINGTON,DE,19803-0769,0000,03,3,1200,200208,1,15,000000000,1,01,201412,3,3,01,0,12,32106,71480,71480,A31,
010702336,WOMEN IN TRANSITION INC,% CARLA D ROBINSON,PO BOX 1073,BEAR,DE,19701-7073,0000,03,3,1200,200406,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,I31,
010708223,PTA DELAWARE CONGRESS,% CHERYL DILL,750 E DELAWARE AVE,NEWARK,DE,19711-7185,2155,03,9,2000,197103,0,16,059035000,5,01,201406,0,0,02,0,06,0,0,0,,NEWARK HIGH SCHOOL PTSA
010715984,P R KELLERMAN FOUNDATION,% REBECCA GAYAGOY,WILM TR 1100 N MARKET ST DE3-C070,WILMINGTON,DE,19890-0001,0000,03,3,1200,200305,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A68,
010760818,DELAWARE STORM TRAVEL TEAMS INC,% GERALD KIRBY,8420 OLD RACETRACK RD,DELMAR,DE,19940-3261,0000,03,3,2000,200306,1,15,000000000,1,01,201312,1,3,01,0,12,3680,80240,68450,N63,
010770318,CORRECTIONAL OFFICERS ASSOCIATION OF DELAWARE,,1243 COLLEGE PARK DR,DOVER,DE,19904-8713,0000,05,3,3000,200512,2,00,000000000,1,01,201405,5,4,01,0,05,977174,485812,437080,J40,
010791880,ALVIN MARLEY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200403,1,04,000000000,1,01,201412,5,4,00,1,12,885913,290270,,T20,
010791882,KLUNGNESS FAMILY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200505,1,04,000000000,1,01,201412,4,2,00,1,12,246589,20171,,T20,
010841368,WILMINGTON TIGERS BASKETBALL CLUB OF DELAWARE INC,% MARK GRUBB,1621 BRAKEN AVE,WILMINGTON,DE,19808-4371,0000,03,3,1200,200512,1,15,000000000,1,01,201412,2,3,01,0,12,11266,62478,62478,N62,
010850018,THE@GENE AND TAFFIN A RAY FAMILY FOUNDATION,% C/O FOUNDATION SOURCE,501 SILVERSIDE RD STE 123,WILMINGTON,DE,19809-1377,0000,03,3,1000,200601,1,04,000000000,1,01,201406,5,2,00,1,06,578705,14278,,T20,
010851830,REGULATORY COMPLIANCE ASSOCIATION INC,,16 W MAIN ST,CHRISTIANA,DE,19702-1530,0000,06,3,2000,200806,2,00,000000000,1,01,201312,5,5,01,0,12,665556,989699,989699,S03,RCA
010852125,ORGANIZATION OF PJM STATES INC,% GREGORY CARMEAN EXECUTIVE DIRECTO,249 E MAIN STREET BLD 2 STE 1,NEWARK,DE,19711-7323,0000,04,3,3000,200612,2,00,000000000,1,01,201412,3,5,01,0,12,41916,602216,602216,U03,
010857922,CLOCK TOWER PLACE FUNDING COMPANY,% DANIEL SANG,500 STANTON CHRISTIANA ST,NEWARK,DE,19713-2105,0000,02,3,1000,200706,2,00,000000000,1,01,201412,8,0,01,0,12,48012614,0,0,Y30,
010857925,SAUGUS PLAZA FUNDING COMPANY,% DANIEL SANG,500 STANTON CHRISTIANA RD OPS 3 2-P,NEWARK,DE,19713-2105,0000,02,3,1000,200706,2,00,000000000,1,01,201412,8,6,01,0,12,20257668,1620278,1620278,Z99,
010881860,MAINSTREAM PROJECTS INC,% RHONDA SULLIVAN,PO BOX 1891,WILMINGTON,DE,19899-1891,0000,03,3,1000,200910,1,15,000000000,1,01,201212,1,1,02,0,12,1207,1000,1000,L41,
010890134,MY SISTERS PLACE INC,% ALEDA M YOUNG,50 CURRANT DR,NEWARK,DE,19702-2852,0000,03,3,1000,200712,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,L20,
010904690,DELAWARE REBELS INC,% ROBERT ROBLES,7485 CEDAR BEACH ROAD,LINCOLN,DE,19960-0000,0000,03,3,1000,201111,1,16,000000000,1,01,201212,0,0,02,0,12,0,0,0,N63,
010914228,CONTRACTORS FOR A CAUSE FOUNDATION LLC,,111 ALTANTIC AVE STE 7,OCEAN VIEW,DE,19970-0000,0000,03,3,1000,200901,1,15,000000000,1,01,201412,3,4,01,0,12,69147,114647,77958,P80,
010924111,MARANATHA FELLOWSHIP,,60 DEER TRACK LN,DOVER,DE,19904-5357,5179,03,9,7000,196602,1,10,000000000,1,01,,0,0,06,0,12,,,,X20Z,CONSERVATIVE MENNONITE CONFERENCE
010933809,ARISING MINISTRIES,,PO BOX 658,BEAR,DE,19701-0658,0000,03,3,1700,201204,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,X99,
010950485,SPEAK FOR THOSE WHO CANNOT PROGRAMS INC,% LYN-DIANNE BUDD,2010 MONROE PL,WILMINGTON,DE,19802-3924,0000,03,3,1000,201209,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P40,SPEAK
020537737,NEW CALVARY BAPTIST CHURCH,% EDWARD BENN SR,610 S HEALD ST,WILMINGTON,DE,19801-5636,0000,03,3,7000,200505,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020552325,PRIORITY COMMUNICATIONS MINISTRIES INC,% REV STEVE HARE,2207 CONCORD PIKE PMB 217,WILMINGTON,DE,19803-2908,1620,03,9,7000,196402,1,10,000000000,5,01,,0,0,06,0,12,,,,,
020552355,PRIORITY COMMUNICATIONS MINISTRIES INC,% STEVE HARE,179 STANTON CHRISTIANA RD,NEWARK,DE,19702-1619,1620,03,9,7000,196402,1,10,000000000,5,01,,0,0,06,0,12,,,,,
020557405,CLARENCE ST CHURCH OF GOD,% MARY E WALKER,PO BOX 817,SEAFORD,DE,19973-0817,2358,03,9,7000,197210,1,10,000000000,5,01,,0,0,06,0,08,,,,,
020568983,DELAWARE HEADSTART ASSOCIATION INC,% TELAMON CORP,100 W 10TH ST STE 1016,WILMINGTON,DE,19801-6607,0000,03,3,2000,200204,1,16,000000000,1,01,201409,4,3,01,0,09,132931,61850,61850,B80,
020606080,CARL T OSTERLOF INC A NON-PROFIT CORPORATION,% JANE DALY,106 COUNTRY FLOWER RD,NEWARK,DE,19711-2482,0000,03,3,1000,200310,1,15,000000000,1,01,201312,1,3,01,0,12,8742,53815,53815,T11,CARL T OSTERLOF FOUNDATION
