EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548379,LIVING FOR CHRIST MINISTRIES,% PEGGY WEBSTER,PO BOX 29112,HONOLULU,HI,96820-1512,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010575126,FRIENDS OF NELHA,,73 4460 QUEEN KAAHUMANU HWY ROOM 10,KAILUAKONA,HI,96740-2632,0000,03,3,1000,200309,1,16,000000000,1,01,201412,2,3,01,0,12,15514,75790,75790,C30,
010577643,NOVA LUNA FOUNDATION,% MICHELLE VILLANTI,1135 MAKAWAO AVE PMB 340,HAIKU,HI,96708-0000,0000,03,3,2000,200405,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,E50,
010602637,INTERNATIONAL PACKAGED CONCRETE MANUFACTURERS ASSOCIATION INC,% ROBERT JASKA,91-400 KOMOHANA,EWA BEACH,HI,96707-0000,0000,06,3,2000,200309,2,00,000000000,1,01,201409,3,3,02,0,09,66391,48897,48897,S41,
010606686,HAWAII QUARTER HORSE ASSOCIATION,% LINDA HUNT,PO BOX 638,KAMUELA,HI,96743-0638,0000,05,3,1000,200303,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,K26,
010607132,OUTREACH EMERGENCY SERVICE PROGRAM,% KAREN WHITNEY,92-706 NOHOPAA ST,KAPOLEI,HI,96707-1236,0000,03,3,1000,200209,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,E60,
010629526,BEN AND MIRIAM LAU FOUNDATION,% RICHARD C WO,1314 S KING ST STE 524,HONOLULU,HI,96814-1940,0000,03,3,1000,200210,1,04,000000000,1,01,201312,6,6,00,1,12,3866222,2845856,,T20,
010629563,OLD TOWN MOILIILI BUSINESS ASSOCIATION,% WACHI & WATANABE CPA INC,2211 S BERETANIA ST,HONOLULU,HI,96826-1409,0000,03,3,1000,200509,1,15,000000000,0,01,201312,0,0,02,0,12,0,0,0,S12,
010637829,HAWAII TRAVEL & TOURISM RESEARCH ASSOCIATION,% C/O CHRIS KAM,2270 KALAKAUA AVE STE 801,HONOLULU,HI,96815-2568,0000,06,3,2000,200805,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,S41,HTTRA
010637863,MYRA W & JEAN KENT ANGUS FOUNDATION,% PACIFIC CENTURY TRUST,PO BOX 3170,HONOLULU,HI,96802-3170,0000,03,3,1000,200206,1,04,000000000,2,01,201403,6,5,00,1,03,2814759,829066,,T20,
010642459,KEALA O KALANI,% ALLAN PREVO,98-778 NAALII ST,AIEA,HI,96701-2743,0000,03,3,2000,200503,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P50,
010682872,PDMI-CARE INC,% SHARON FOUNTAIN,84-1064 LAHAINA ST APT 1,WAIANAE,HI,96792-2267,0000,03,3,1000,200210,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P82,
010700725,AHA KUKUI O MOLOKAI,% ROBERT J M MORRIS JR,PO BOX 391,HOOLEHUA,HI,96729-0391,0000,03,3,1000,200402,1,15,000000000,1,01,201312,3,1,02,0,12,41937,7134,6555,A20,
010703365,HAWAII VENTURE CAPITAL ASSOCIATION,% WINDWARD CONNECTION,PO BOX 4677,HONOLULU,HI,96812-4677,0000,06,3,2000,200305,2,00,000000000,1,01,201404,1,3,02,0,04,2836,37888,37888,S30,
010717296,FREEDOM TO CHOOSE FELLOWSHIP,% MICHAEL S FLYNN,885 KILAUEA AVE,HILO,HI,96720-4214,0000,03,3,1000,200210,1,15,000000000,1,01,201212,1,1,02,0,12,78,8532,8532,X20,
010724620,KOREAN AMERICAN MEDICAL ASSOCIATION OF HAWAII,% CHARLES KIM,1010 S KING ST STE 801,HONOLULU,HI,96814-1759,0000,03,3,1000,200209,1,15,000000000,1,01,201311,0,0,02,0,11,0,0,0,G119,
010757287,UFCW-HAWAII FOOD EMPLOYERS HEALTH AND WELFARE TR FUND,% AMERICAN BENEFIT PLAN,200 N VINEYARD BLVD STE 100,HONOLULU,HI,96817-3938,0000,09,3,1000,200511,2,00,000000000,1,01,201312,7,8,01,0,12,9892403,21524256,10844200,Y43,LOO PAT ET AL TTEE
010799223,STARFIRE COMPANION-ANIMAL SANCTUARY,% TORUN ALMER,84-5142 KEALA O KEAWE RD,CAPTAIN COOK,HI,96704-8418,0000,03,3,4000,200408,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,D32,
010876003,MARINE CORPS LEAGUE,% ALICE BROWNE,PO BOX 383058,WAIKOLOA,HI,96738-3058,0955,08,9,1000,194511,2,00,036279265,5,01,201406,0,0,02,0,06,0,0,0,,1255 CAMP TARAWA DETACHMENT
010910349,MALAMA HAWAII,% MARK HUFF,1616 PAPAU PL,KAPAA,HI,96746-0000,0000,03,3,1200,200903,1,15,000000000,1,01,,0,0,00,0,12,,,,A34,
010915170,VOICE FOR LEARNING,% CT CORPORATION,1136 UNION MALL STE 301,HONOLULU,HI,96813-2711,0000,04,3,3000,201003,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,B90,
010919143,REECE TOYAMA FOUNDATION,% PAMELA OSHIRO-TAYLOR,PO BOX 17888,HONOLULU,HI,96817-0888,0000,03,3,1000,200905,1,15,000000000,1,01,201312,3,3,01,0,12,69783,72030,36180,N20,
010927183,MIYAWAKI FOUNDATION,% EDISON H MIYAWAKI,2900 PALI HIGHWAY,HONOLULU,HI,96817-1479,0000,03,3,1200,200912,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B12,
010930714,ACTIVED,% FAYE SAIKI,1149 S KING ST,HONOLULU,HI,96814-2229,0000,03,3,1000,201201,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P30,
010942381,THE@ALII GROUP,% THE ALII GROUP,84 961LAHAINA ST,WAIANAE,HI,96792-0000,0000,03,3,1000,201103,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P20,
010943863,HAWAII WAIVER PROVIDERS ASSOCIATION,% STONE WOLFSONG,1001 KAMOKILA BLVD STE 136,KAPOLEI,HI,96707-2095,0000,06,3,1000,201103,2,00,000000000,1,01,201506,0,0,02,0,06,0,0,0,S40,
010947974,KANEOHE OFFICERS SPOUSES CLUB,% KAE A MATORY PRES,PO BOX 349000,KAILUA,HI,96734-8500,0000,04,3,1000,201405,2,00,000000000,2,01,201412,0,0,02,0,12,0,0,0,S41,KOSC
010951573,DEPARTMENT OF HAWAII LADIES AUXILIARY TO THE VFW OF THE U S,% C/O PEGGY HAAKE,69 LEIPAPA PL,KAHULUI,HI,96732-2949,5729,19,9,1000,201008,2,00,000000000,5,01,201406,0,0,02,0,06,0,0,0,W30,1540 HONOLULU LADIES AUXILIARY
010954321,KOKOLULU FARM AND CANCER RETREATS INC,% KARIN COOKE,PO BOX 340,HAWI,HI,96719-0340,0000,03,3,1000,201101,1,15,000000000,1,01,201412,3,4,01,0,12,70869,115183,115183,G30,
010958081,HIKAALANI,,PO BOX 342020,KAILUA,HI,96734-8996,0000,03,3,2000,201407,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B99,
010962253,HAWAII BIOFUELS FOUNDATION,,PO BOX 4207,HONOLULU,HI,96812-4207,0000,03,3,2000,201007,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,C30,
010963916,HOOKELE PONO LLC,% OFFICE OF HAWAIIAN AFFAIRS SOLE M,711 KAPIOLANI BLVD STE 1430,HONOLULU,HI,96813-5238,0000,03,3,1000,201104,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,S30,
010964759,HOOKIPAIPAI LLC,% OFFICE OF HAWAIIAN AFFAIRS SOLE M,711 KAPIOLANI BLVD STE 1430,HONOLULU,HI,96813-5238,0000,03,3,1000,201104,1,15,000000000,1,01,201312,4,4,01,0,12,151365,385339,385339,S41,
010965977,HONPA HONGWANJI MISSION OF HAWAII,% ARTHUR NAKAGAWA,398 KILAUEA AVE,HILO,HI,96720-3038,2076,03,9,7000,194801,1,10,001030000,5,01,,0,0,06,0,11,,,,,HAWAII DISTRICT MINISTERS ASSOCIATI
010968308,KANAKA O PUNA,,HC 3 BOX 13570,KEAAU,HI,96749-9228,0000,03,3,1000,201408,1,15,000000000,1,01,,0,0,01,0,06,,,,P99,
016184578,SPENCER JOHNSON FAMILY FOUNDATION,% ACCUITY LLP,999 BISHOP ST STE 1900,HONOLULU,HI,96813-4427,0000,03,3,1000,200203,1,04,000000000,2,01,201312,4,3,00,1,12,480229,62397,,T21,
020500900,BIBLE HILL MINISTRIES,% WILBOR BOYD,76-6336 KOLOLIA ST,KAILUA KONA,HI,96740-2261,0000,03,3,1000,200003,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,X20,
020551043,YOUNG ENTREPRENEURS ORGANIZATION,,PO BOX 235752,HONOLULU,HI,96823-3512,3705,03,9,1000,000000,0,16,000000000,1,01,201406,3,4,01,0,06,96465,236915,236915,,ENTREPRENEURS ORG OF HAWAII
020553251,NORTH KOHALA COMMUNITY RESOURCE CENTER,% NONE,PO BOX 519,HAWI,HI,96719-0519,0000,03,3,1000,200203,1,15,000000000,1,01,201312,4,5,01,0,12,172164,511435,504934,S20,
020556883,MA KA HANA KA IKE BUILDING PROGRAM,% RICK RUTIZ,PO BOX 968,HANA,HI,96713-0968,0000,03,3,1000,200207,1,15,000000000,1,01,201406,5,5,01,0,06,743248,858055,858055,O99,
020675730,HALE MAHAOLU EHIKU II INC,% DIANE KENNEDY,200 HINA AVENUE,KAHULUI,HI,96732-1821,0000,03,3,1000,200505,1,15,000000000,1,01,201312,7,0,02,0,12,6973734,0,0,L22,
020675963,HAWAII COMMUNITY CAREGIVER NETWORK,% PATRICIA SCHUMACHER CPA,77-123 LAALOA AVE,KAILUA KONA,HI,96740-2435,0000,03,3,1000,200405,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,S20,
020705295,NEWFOUNDLAND CLUB OF HAWAII,% NORI SHIMOJIMA,45-035 LILIPUNA RD,KANEOHE,HI,96744-3019,0000,07,3,1000,201110,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,D60,
020718525,KOOK MIN HUR FOUNDATION,% DUKE CHUNG JR,1506 ONIPAA ST,HONOLULU,HI,96819-1735,0000,03,3,1000,200405,1,04,000000000,1,01,201312,5,4,00,1,12,516172,242776,,T22,
020741933,OVERCOMING FAITH CENTER,,200 KANOELEHUA AVE BOX 385,HILO,HI,96720-4648,0000,03,3,7000,200903,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020782646,KNIGHTS OF COLUMBUS,% KNIGHTS OF COLUMBUS,3129 CHARLES STREET,HONOLULU,HI,96816-1270,0188,08,9,1000,194010,2,00,036029265,5,01,201312,0,0,02,0,12,0,0,0,,14105 ST ANTHONY COUNCIL
020789146,SUFIS HAWAII,% ANDREW BINSTOCK,PO BOX 1268,HAIKU,HI,96708-1268,5335,03,9,7000,197108,1,10,000000000,5,01,,0,0,06,0,12,,,,X99,
020791166,ALOHA CENTER FOR SPIRITUAL LIVING,,PO BOX 3188,KAILUA KONA,HI,96745-3188,0000,03,3,7000,200801,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020803556,CENTRAL TENRIKYO CHURCH OF HAWAII,% LEE ANN T INOUYE,3174 LINCOLN AVE,HONOLULU,HI,96816-1458,0000,03,3,7000,201003,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,
020811008,HAWAII UNITED INDIVIDUALS,% ELIZABETH BUSH,64-5234 HOHOLA DR,KAMUELA,HI,96743-8110,0000,03,3,1200,200804,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,F21,
030397547,HAWAII COALITION AGAINST SEXUAL ASSAULT,% LEGAL AID SOCIETY OF HAWAII,PO BOX 10596,HONOLULU,HI,96816-0596,0000,03,3,2100,200207,1,15,000000000,1,01,201312,2,4,01,0,12,14504,173623,173623,P80,
030405437,MONTESSORI EDUCATION CENTER OF HAWAII INC,% BONNIE BECKETT,PO BOX 967,KAMUELA,HI,96743-0967,0000,03,3,2000,200310,1,11,000000000,1,01,201405,2,4,01,0,05,18490,141226,141226,,KOHALA STARS PRESCHOOL
030453881,THE KALANA FOUNDATION,,15-1236 AUINA RD,PAHOA,HI,96778-6605,0000,03,3,1000,200309,1,04,000000000,1,01,201312,1,3,00,3,12,1,38248,38248,F53,
030496117,MAUI MOTOR SPORTS ENTERTAINMENT GROUP INC,% DOUG BELL,PO BOX 1440,KIHEI,HI,96753-1440,0000,04,3,1000,200403,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,N70,
030605989,NWHI BOTTOMFISHING HUI,% GARY DILL,828 N JUDD ST APT A,HONOLULU,HI,96817-2287,0000,06,3,2000,200901,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,S40,
030612583,YAHWEHS HOUSE FOR CHILDREN,% WILLIAM R FELDNER,PO BOX 17909,HONOLULU,HI,96817-0909,0000,03,3,1000,200902,1,04,000000000,1,01,201311,5,1,00,1,11,656391,1157,,L41,
