EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010363873,NATIONAL RURAL HEALTH ASSOCIATION,,4501 COLLEGE BLVD STE 225,LEAWOOD,KS,66211-1921,0000,03,3,2000,197911,1,15,123531205,5,01,201312,6,7,01,0,12,1172479,5069880,4780463,,
010528050,ORDER OF QUETZALCOATL PLUMED SERPENT,% HAROLD B GILBERT,PO BOX 12487,OVERLAND PARK,KS,66282-2487,8111,10,9,1000,199708,2,00,319000000,5,01,201412,0,0,02,0,12,0,0,0,,59 EL CORAZON DE KORA
010559251,KANZA HOUSE GENEALOGY HISTORY & RESOURCE LIBRARY ASSOCIATION,% JOYCE JONES,106 PINE ST,LEBANON,KS,66952-8808,0000,03,3,2000,200203,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,A80,
010576305,ANNALS OF FAMILY MEDICINE INC,% STEPHANIE HANAWAY,11400 TOMAHAWK CREEK PARKWAY,LEAWOOD,KS,66211-2680,0000,03,3,1200,200307,1,17,000000000,1,01,201312,4,5,01,0,12,340117,774507,774507,A33,
010599701,MELVERN COMMUNITY PRIDE INC,% CORINE YOCKEY,PO BOX 36,MELVERN,KS,66510-0036,0000,03,3,1000,200405,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,N31,
010615880,CHILDRENS GARDEN INC,% JEAN PASSANTINO,4901 REINHARDT,SHAWNEE MISSION,KS,66205-1544,0000,03,2,2000,200207,1,11,000000000,1,01,201406,4,4,01,0,06,187793,325667,324876,B21,
010645545,STRATEGIC FAMILY MINISTRIES ASSOCIATION,% CHRIST LUTHERAN CHURCH,11720 NIEMAN RD,OVERLAND PARK,KS,66210-4308,0000,03,3,7000,200308,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,X99,
010650318,BOYS & GIRLS CLUBS OF AMERICA,% MARK NORDSTROM,2150 SW WESTPORT DR,TOPEKA,KS,66614-1918,3514,04,9,3000,199908,2,00,000000000,5,01,,0,0,01,0,12,,,,,KANSAS ALLIANCE
010662531,JOE HUBBARD MINISTRIES,% JOE HUBBARD,PO BOX 3385,OLATHE,KS,66063-3385,0000,03,3,1200,200211,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A68,
010668886,SERVANTS INTERNATIONAL INC,% STEVEN R SIZEMORE,1715 BARKER AVE,LAWRENCE,KS,66044-3719,0000,03,3,7100,200208,1,15,000000000,1,01,201412,3,3,02,0,12,61402,47632,47632,X20,
010671224,HABITAT FOR HUMANITY INTERNATIONAL INC,% KELLI MCCOMB,221 W HARVEY,WELLINGTON,KS,67152-3808,8545,03,9,1000,198701,1,15,029380000,1,01,201406,0,0,02,0,06,0,0,0,L20Z,WELLINGTON AREA
010674969,COMMUNITY HEALTH COUNCIL OF WYANDOTTE COUNTY INC,% WYANDOTTE HEALTH FOUNDATION,755 MINNESOTA AVE,KANSAS CITY,KS,66101-2703,0000,03,3,1200,200212,1,15,000000000,1,01,201409,4,4,01,0,09,213126,314100,314100,E21,
010704842,HOUSE OF PRAYER EVANGELISTIC CHURCH,% BERNARD CRAWFORD JR,2648 N 18TH ST,KANSAS CITY,KS,66104-5405,0000,03,3,7120,200805,1,10,000000000,1,01,,0,0,06,0,12,,,,X212,
010735024,KANSAS CITY TAMIL SANGAM INC,% MANI RAMAN,11383 S CHOUTEAU ST,OLATHE,KS,66061-7136,0000,03,3,2000,200208,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,A20,
010756380,BANGS FAMILY FOUNDATION,% LAWRENCE BANGS,5421 MCCOY ST,SHAWNEE,KS,66226-2639,0000,03,3,1000,200403,1,04,000000000,1,01,201406,6,5,00,1,06,1683844,610214,,T20,
010760115,GEUDAFEST PLANNING COMMITTEE,% SHANNON WENDT,107 N FIRST,GEUDA SPRINGS,KS,67051-0000,0000,04,3,3000,200303,2,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,N52,
010764975,CROSSROADS COMMUNITY CHURCH,% TIMOTHY L CUPP,25715 W 127TH ST,OLATHE,KS,66061-9233,0000,03,3,7000,200305,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010768541,FRIENDS OF YOUTH SPORTS,% SANDY VINSON,213 W BOND ST,SALINA,KS,67401-4938,0000,03,3,1000,200503,1,16,000000000,5,01,201312,1,4,01,0,12,9397,218179,9942,,
010773390,PALS ANIMAL RESCUE INC,% ELLEN QUERNER,PO BOX 47342,WICHITA,KS,67201-7342,0000,03,3,4100,200304,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,D20,
010784835,KERALA ASSOCIATION OF KANSAS CITY,% JAYAN ABRAHAM,11010 W 143RD TER,OVERLAND PARK,KS,66221-8070,0000,04,3,2000,201406,2,00,000000000,5,01,201412,0,0,02,0,12,0,0,0,A20,
010786312,MISSOURI VALLEY ECLIPSE,% LESTER ERSKINE,PO BOX 344,DE SOTO,KS,66018-0344,0000,03,3,1000,200311,1,16,000000000,1,01,201412,1,4,01,0,12,458,170878,170878,A62,
010791649,PROMISED LAND FOUNDATION INC,% GLEN G BEAL,1074 W SANTA FE ST,OLATHE,KS,66061-3173,0000,03,3,1000,200405,1,17,000000000,1,01,201412,1,6,01,0,12,9609,1370000,342506,T20,
010795924,PLAINVILLE COMMUNITY FOUNDATION INC,% CHARLIE RAMSEY,511 S MAIN ST,PLAINVILLE,KS,67663-2825,0000,03,3,1000,200404,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,T31,
010801631,KANSAS PROPANE EDUCATION AND RESEARCH COUNCIL,% JUSTIN HOLSTIN,540 NW BROAD ST,TOPEKA,KS,66608-1819,0000,06,3,1000,200511,2,00,000000000,5,01,201406,5,4,01,0,06,685829,425460,399133,S41,
