EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010356732,CARRIAGE MUSEUM OF AMERICA,,4809 IRON WORKS PKWY,LEXINGTON,KY,40511-0000,0000,03,3,1000,197808,1,15,149060000,1,01,201312,6,5,01,0,12,1193407,748696,75754,A540,AT THE KENTUCKY HORSE PARK
010551398,HIGHLANDS BAND ASSOCIATION INC,% DAWNA HAUPT,PO BOX 75029,FORT THOMAS,KY,41075-0029,0000,03,3,1200,200203,1,16,000000000,1,01,201305,0,0,02,0,05,0,0,0,N60,
010554843,JEFFERSON COUNTY SEARCH DOG ASSOCIATION,% HOLLY HATFIELD,8004 SMYRNA PKWY,LOUISVILLE,KY,40228-1808,0000,03,3,1200,200204,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P80,
010557144,AUGUSTA ART GUILD,% PRESIDENT,116 MAIN ST,AUGUSTA,KY,41002-1035,0000,03,3,1000,201407,1,16,000000000,1,01,201410,0,0,02,0,10,0,0,0,A40,
010557631,KENTUCKY ALPACA ASSOCIATION INC,%MARTHA SANDERS,6041 DAMAR CT,LEXINGTON,KY,40515-9704,0000,05,3,1000,200204,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,K26,KY CLASSIC ALPACA SHOW
010560598,CHILD DEVELOPMENT CENTER CORPORATION,% AUTUMN H MCFANN,2201 LEXINGTON AVE,ASHLAND,KY,41101-2843,0000,03,3,1000,201410,1,16,000000000,1,01,201309,6,5,01,0,09,1523289,596259,596259,P33,
010563104,FRIENDSHIP AND COMMUNITY EXPERIENCING SUCCESS INC,% DERRICK L MILES,2325 OSAGE AVE,LOUISVILLE,KY,40210-1113,0000,03,3,1000,200301,1,15,000000000,1,01,201206,0,0,02,0,06,0,0,0,O55,
010582200,KENTUCKY PAINT HORSE CLUB,% TRACIE DUNN,PO BOX 1177,VERSAILLES,KY,40383-5177,0000,05,3,1000,201110,2,00,000000000,1,01,201312,3,3,01,0,12,43989,66511,66511,K26,
010597359,SPIRIT OF JOY LIFE MINISTRIES,% BELZORA SCOTT,5009 POPLAR LEVEL RD,LOUISVILLE,KY,40219-1117,0000,03,3,7000,200606,1,10,000000000,1,01,,0,0,06,0,10,,,,X20,
010600655,CHRIST CHURCH OF PRAYER AND DELIVERANCE,% CHARLES VAUGHN,624 S 38TH ST,LOUISVILLE,KY,40211-3029,0000,03,3,7000,200204,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
