EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010550123,LOUISIANA OUTSIDE COUNSEL HEALTH AND ETHICS FOUNDATION,% DREW RANIER,1419 RYAN ST,LAKE CHARLES,LA,70601-5918,0000,03,3,1000,200207,1,04,000000000,1,01,201312,1,5,00,1,12,1,750000,,T90,
010554139,BATON ROUGE CAPITAL CONFLICT OFFICE INC,% DAVID PRICE,525 FLORIDA ST STE 310,BATON ROUGE,LA,70801-1732,0000,03,3,1000,200205,1,15,000000000,1,01,201412,3,5,01,0,12,43484,952553,952553,I80,
010557958,LEMMIE AND MABLE ANDREWS CHARITABLE FOUNDATION,% ARTHUR E FAULK,6811 JEFFERSON HWY,BATON ROUGE,LA,70806-8108,0000,03,3,1000,200311,1,04,000000000,1,01,201406,1,1,00,1,06,8503,1,,T50,
010558440,FRIENDS OF ARTS COUNCIL OF GREATER DENHAM SPRINGS INC,% PART HAUSSLER,12046 JUSTICE AVE STE B,BATON ROUGE,LA,70816-5305,0000,03,3,1000,200304,1,15,000000000,1,01,201312,2,3,01,0,12,20265,91734,24161,A26,GREATER DENHAM SPRINGS INC ART CNCL
010558682,DOC-DHL INC,,345 GRANDPRE ST,BATON ROUGE,LA,70802-5919,0000,03,3,1000,200501,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P33,JACKSON CARL J
010558998,INTERFAITH COUNCIL ON NEEDS ST LANDRY INC,% DANA REED,186 CYPRESS DR,OPELOUSAS,LA,70570-8118,0000,03,3,1000,200203,1,15,000000000,1,01,201412,2,3,01,0,12,13657,83272,83272,P60,
010560277,LABORERS ABOUT THE MASTERS BUSINESS MINISTRIES INTERNATIONAL,,5127 LAUREL ST,NEW ORLEANS,LA,70115-1837,0000,03,3,1000,200712,1,15,000000000,1,01,201412,2,3,01,0,12,10361,52243,52243,,MCENERY HENRY A III
010561988,ASSESS THE NEED,% TROY D JONES CPA,PO BOX 307,LIVINGSTON,LA,70754-0307,0000,03,3,1000,200302,1,15,000000000,1,01,201412,3,3,01,0,12,55810,58720,58720,B99,
010576207,GERT TOWN COMMUNITY DEVELOPMENT CENTER,% REV JOHN T WHITE,3117 BROADWAY ST,NEW ORLEANS,LA,70125-2605,0000,03,3,1000,200302,1,15,000000000,1,01,201212,3,4,01,0,12,79739,104050,101450,P28,
010578178,OAKS MIDDLE SCHOOL,% TERI BICKHAM,43293 RANGE RD,HAMMOND,LA,70403-0000,0000,03,3,2000,200207,1,11,000000000,1,01,201406,0,0,02,0,06,0,0,0,B25,
010587847,TOTAL ARMOUR OF GOD,% JAMES K MILLSAPS,PO BOX 2061,HARVEY,LA,70059-2061,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010593546,TIOGA HISTORICAL SOCIETY,% JIMMIE NELLE LEWIS PRESIDENT,PO BOX 151,TIOGA,LA,71477-0151,0000,03,3,2000,200208,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A80,
010594976,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,% NATHANIEL THIERRY,1645 DUPRE RD,OPELOUSAS,LA,70570-1024,1531,04,9,1300,196111,2,00,430059480,5,01,,0,0,01,0,12,,,,Z99Z,6088 ST LANDRY BRANCH NAACP
010605461,LOUISIANA GASTROENTEROLOGY SOCIETY INC,,9103 JEFFERSON HWY,BATON ROUGE,LA,70809-2440,0000,06,3,2000,200209,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,E03,
010606523,NEW DAY DELIVERANCE HOLINESS CHURCH OF ALEXANDER INC,% JEANNIE WILLIAMS,PO BOX 54,ALEXANDRIA,LA,71309-0054,0000,03,3,7000,201103,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010617783,CHARITY HOLDING CORPORATION,% SYDNEY THIBODAUX,PO BOX 468,LABADIEVILLE,LA,70372-0468,0000,02,3,1000,200810,2,00,000000000,1,01,201406,0,0,02,0,06,0,0,0,S47,
010625030,OPEN DOOR MINISTRIES INTERNATIONAL,% MELANIE DUPLECHAIN,11123 WINCHESTER PARK DR,NEW ORLEANS,LA,70128-2717,0000,03,3,1000,200708,1,15,000000000,1,01,201410,0,0,02,0,10,0,0,0,P60,
010626314,KREWE DE LAMITIE,% FRANK PORTINAUSE,5038 CYPRESS LAKE DR,LAKE CHARLES,LA,70611-3229,0000,07,3,1000,200307,2,00,000000000,1,01,201203,0,0,02,0,03,0,0,0,N50,
010635750,LOUISIANA STATE ASSEMBLY OF AST,% BRYAN WILLE,PO BOX 60445,LAFAYETTE,LA,70596-0445,0000,06,3,1000,200306,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,E03,
010637415,NEW ORLEANS CRAFT TEMPLE FOUNDATION INC,% DR ERIC C HAHN,2804 KEITH WAY DR,HARVEY,LA,70058-1921,0000,03,3,2100,200209,1,15,000000000,1,01,201503,0,0,02,0,03,0,0,0,A50,
010648681,LOUISIANA OIL & GAS MUSEUM FOUNDATION INC,% GREGORY MARCANTEL,PO BOX 1254,JENNINGS,LA,70546-1254,0000,03,3,2000,200407,1,15,000000000,1,01,201312,2,0,02,0,12,17394,0,0,A57,
010669825,CLASS OF 83 THANKSGIVING DRIVE INC,% LUIS I INGLES III CPA APAC,102 SYCAMORE DR,METAIRIE,LA,70005-4025,0000,03,3,1000,200302,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010688260,STRONG TOWER CHRISTIAN CENTER,% PATRICIA MOORE,PO BOX 861,AMITE,LA,70422-0861,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,01,,,,X21,
010690305,ROAD RUNNERS CLUB OF AMERICA,% DIANE WEISS,49 KAREN DR,COVINGTON,LA,70433-0915,2702,03,9,1000,197603,0,15,300288000,5,01,201412,0,0,02,0,12,0,0,0,,15TH STREET FLYERS
010693999,FONTAINEBLEAU HIGH CRIMSON BAND BOOSTER CLUB,% PRESDENT,PO BOX 2585,MANDEVILLE,LA,70470-2585,0000,03,3,1200,200303,1,16,000000000,5,01,201206,3,4,01,0,06,34342,227877,175302,A12,
010694772,ALL FOR ONE-AFO FOUNDATION,% HAROLD BATTISTE,3443 ESPLANADE AVE,NEW ORLEANS,LA,70119-2916,0000,03,3,1000,200212,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A68,
010699574,IZZY MOVING DANCE THEATRE,% DANA BREWER-PLAZINIC,15 GLEN LOOP,COVINGTON,LA,70435-9503,0000,03,3,1000,200302,1,04,000000000,1,25,201412,1,1,00,1,12,1,1,,A62,
010707958,330 CAMP STREET INC,% WILLIAM J BURNELL,3801 CANAL ST STE 320,NEW ORLEANS,LA,70119-6058,0000,02,3,1000,200211,2,00,000000000,1,01,201412,1,5,01,0,12,1,548067,173350,S47,
010709703,INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,% GIZZELLE BOZONIER,1601 PERDIDO ST,NEW ORLEANS,LA,70112-1262,0264,05,9,3000,194012,0,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,,1904 NFFE FL I A M & A W
010714910,FIRES OF REVIVAL INC,% JAMES P ROBERTSON,11950 MILLDALE RD,ZACHARY,LA,70791-7908,0000,03,3,1000,200210,1,15,000000000,1,01,201412,1,1,02,0,12,149,2150,2150,X83,
010722568,CROSSROADS PREGNANCY RESOURCE,% ADRIENNE NAQUIN BOUTON,105 SAINT LOUIS ST,THIBODAUX,LA,70301-3027,0000,03,3,2000,200209,1,15,000000000,1,01,201407,4,4,01,0,07,161063,112028,101633,P40,
010725577,ARTISTS HOUSE FOUNDATION INC,% CATHY WEEKS,1515 HENRY CLAY AVE,NEW ORLEANS,LA,70118-6157,0000,03,3,2000,200311,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A20,
010727873,FAITH HOPE & LOVE FELLOWSHIP INC,% RONALD E HARDY SR,PO BOX 1639,ST FRANCISVLE,LA,70775-1639,0000,03,3,7000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010728832,LAKE AREA ATHLETIC TRAINERS ASSOCIATION INC,% JAMES MURPHY,4904 MAPLEWOOD DR,SULPHUR,LA,70663-6528,0000,03,3,2000,200305,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,B99,
010735313,FAITH MISSIONARY BAPTIST CHURCH,% DEACON CHARLES E JACKSON,1706 SEVERINE ST,SHREVEPORT,LA,71108-3024,0000,03,3,7100,200505,1,10,000000000,0,01,,0,0,06,0,12,,,,X21,
