EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,% JOANNE SOUSA,PO BOX 126,HULLS COVE,ME,04644-0126,0000,03,3,1000,200007,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A80,
010017496,AGAMENTICUS YACHT CLUB OF YORK,,PO BOX 534,YORK HARBOR,ME,03911-0534,0000,03,3,2000,199303,1,15,149000000,1,01,201312,4,4,01,0,12,241659,119811,117157,,
010018555,ALPHA TAU OMEGA FRATERNITY,,81 COLLEGE AVE,ORONO,ME,04473-4210,0287,07,9,1000,194101,2,00,036000000,5,01,201412,0,0,02,0,12,0,0,0,,BETA UPSILION MAINE-ORONO
010018605,AMALGAMATED TRANSIT UNION,% BRENDON BURKE,PO BOX 979,PORTLAND,ME,04104-0979,0155,05,9,3000,194010,2,00,263000000,5,01,201412,2,3,01,0,12,13146,65972,65972,,714 LOCAL
010018922,AMERICAN LEGION AUXILIARY,,317 FOUR ROD RD,WARREN,ME,04864-4661,0964,19,9,1000,194610,1,00,319000000,5,01,201405,4,4,01,0,05,204151,260184,260184,,178 DANIEL E LAMBERT MEMORIAL
010018923,AMERICAN LEGION POST 0019 THOMAS W COLE POST,,PO BOX 801,SANFORD,ME,04073-0801,0925,19,9,1000,194603,1,00,907908000,1,01,201405,4,4,01,0,05,223863,175955,75992,,
010018927,AMERICAN LEGION POST 0005 BOURQUE LANIGAN,,21 COLLEGE AVE,WATERVILLE,ME,04901-6141,0925,19,9,1000,194603,1,00,907908000,1,01,201312,5,5,01,0,12,667958,891252,202203,,
010018930,AMERICAN LEGION,% TOM ADKINS TREAS,5 VERTI DR,WINSLOW,ME,04901-0727,0925,19,9,1000,194603,1,00,907908000,5,01,201504,5,5,01,0,04,941168,768187,768187,,22 DEPT OF MAINE
010019705,ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,,PO BOX 430,HOLDEN,ME,04429-0430,0275,10,6,1000,194101,1,00,260279000,5,01,201403,6,4,01,0,03,1610569,495772,375428,,
010019708,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% LAWRENCE PRINGLE,20 GABRADAK LN,CHELSEA,ME,04330-1377,0275,10,9,1000,194101,1,00,036000000,5,01,201412,0,0,02,0,12,0,0,0,,35 BETHLEHEM LODGE
010021545,MAINE STATE CHAMBER OF COMMERCE,,125 COMMUNITY DR STE 101,AUGUSTA,ME,04330-8157,0000,06,3,1000,192110,2,00,205000000,1,01,201406,5,6,01,0,06,520156,1505734,1465506,,
010022320,AUGUSTA COUNTRY CLUB,,PO BOX 239,MANCHESTER,ME,04351-0239,0000,07,3,1000,192908,2,00,280000000,1,01,201412,6,6,01,0,12,1106017,1568989,1357818,,
010022415,KENNEBEC VALLEY CHAMBER OF COMMERCE,,21 UNIVERSITY DR,AUGUSTA,ME,04330-8042,0000,06,3,3000,194508,2,00,200402403,1,01,201312,4,5,01,0,12,250801,545973,535046,,
010024155,BANGOR BAND,% BANGOR PARKS & RECREATION,647 MAIN ST,BANGOR,ME,04401-6871,0000,03,3,1000,198407,1,15,090000000,5,01,201409,0,0,02,0,09,0,0,0,,
010024245,BANGOR REGION CHAMBER OF COMMERCE,,20 SOUTH ST,BANGOR,ME,04401-6444,0000,06,3,3000,194501,2,00,403279000,1,01,201312,4,5,01,0,12,148628,588407,578334,,
010024455,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,108 ODLIN RD,BANGOR,ME,04401-6704,1156,08,9,1000,197210,1,00,279265000,5,01,201403,5,6,01,0,03,954015,1517972,404826,,244 BANGOR
010024645,BANGOR SYMPHONY ORCHESTRA,,PO BOX 1441,BANGOR,ME,04402-1441,0000,03,3,1200,196806,1,15,119059000,1,01,201406,6,6,01,0,06,1821821,1683431,1016119,A69Z,
010024907,BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,% S F GOLDTHWAIT JR,PO BOX 52,BAR HARBOR,ME,04609-0052,0000,03,3,1000,199603,1,03,402404000,1,01,201407,5,3,00,1,07,637413,65526,,S20Z,
010027415,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% MALCOLM GATER,1 TUFTS RD,BELFAST,ME,04915-7513,0275,10,9,1000,000000,0,00,000000000,0,01,201503,0,0,02,0,03,0,0,0,,24 BELFAST LODGE
010027741,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 2206,AUGUSTA,ME,04338-2206,1156,08,9,1000,195110,1,00,279265000,5,01,201403,5,6,01,0,03,679933,1761086,316995,,964 AUGUSTA
010027746,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,86 MAIN ST,HOULTON,ME,04730-2121,1156,08,9,1000,195110,1,00,279265000,5,01,201503,4,4,01,0,03,314803,471077,166361,,835 HOULTON
010027747,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,1675 LISBON ST,LEWISTON,ME,04240-3520,1156,08,9,1000,195110,1,00,279265000,5,01,201403,5,4,01,0,03,627826,408457,98540,,LEWISTON LODGE 371
010027748,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,1945 CONGRESS ST,PORTLAND,ME,04102-1903,1156,08,9,1000,195110,1,00,279265000,5,01,201403,4,5,01,0,03,336501,902212,155618,,0188 PORTLAND
010027751,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 983,ROCKLAND,ME,04841-0983,1156,08,9,1000,195110,1,00,279265000,5,01,201403,6,6,01,0,03,1070810,1685651,273884,,1008 ROCKLAND
