EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010442447,STATE RISK AND INSURANCE MANAGEMENT ASSOCIATION,% RISK MANAGEMENT SECTION,547 SOUTH 7TH STREET SUITE 184,BISMARCK,ND,58504-5859,0000,03,3,1000,199901,1,16,998000000,5,01,201412,4,4,01,0,12,252759,229622,229622,W03,
010525386,BLUE KNIGHTS,,PO BOX 12462,GRAND FORKS,ND,58208-2462,0000,10,3,1000,201301,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,Y42,NDI
010575746,SAINT GIANNAS HOME INC,% MARY PAT JAHNER,15605 COUNTY ROAD 15,MINTO,ND,58261-9476,0000,03,3,1200,200207,1,15,000000000,1,01,201412,6,5,01,0,12,1128596,775276,772279,P40,
010587620,ABUNDANT FAITH MINISTRIES,,PO BOX 181,LANGDON,ND,58249-0181,2763,03,9,7000,197707,1,10,000000000,0,01,,0,0,06,0,04,,,,,REV LINWOOD W HEIRONIMUS JR
010589927,MINOT COMMUNITY FOUNDATION,% MINOT COMMUNITY FOUNDATION,606 BURDICK EXPY W - SUITE A,MINOT,ND,58701-4218,0000,03,3,1000,200205,1,17,928000000,1,01,201312,8,6,01,0,12,17152921,2020742,2012071,S20,
010698137,NATIONAL FEDERATION OF MUSIC CLUBS,% KATHY HOMAN,8651 48TH ST NE,DEVILS LAKE,ND,58301-9558,3832,03,9,2000,200202,1,16,000000000,5,01,201406,0,0,02,0,06,0,0,0,A68,DEVILS LAKE MUSIC CLUB
010746351,FOUNDATION FOR LIFE ENRICHMENT INC,% STANLEY WRIGHT,PO BOX 628,STANLEY,ND,58784-0628,0000,03,3,1000,201504,1,15,000000000,1,01,201412,4,3,01,0,12,228300,36192,36192,B99,
010847026,LITCHVILLE COMMUNITY CENTER INC,% NORMA MIEDEMA,10831 COUNTY ROAD 35,LITCHVILLE,ND,58461-9653,0000,03,3,1200,200603,1,15,000000000,1,01,201406,2,2,02,0,06,11512,10556,10556,P28,
010854483,UNITED STATES BOWLING CONGRESS INC,% EDITH MCNAMARA,4355 79TH AVE NW,NEW TOWN,ND,58763-9569,4348,03,9,1000,200409,1,16,000000000,1,01,201407,0,0,02,0,07,0,0,0,N70,83189 STANLEY USBC WBA
010868557,GRAND FORKS DOG TRAINING CLUB INC,% LEE ANDERSON,707 22ND AVE S,GRAND FORKS,ND,58201-6943,0000,03,3,1240,201410,1,16,000000000,1,01,201312,2,2,02,0,12,17907,18166,18166,D61,
010916120,TURTLE MOUNTAIN CDFI,% CHRYSTEL CORNELIUS,PO BOX 204,BELCOURT,ND,58316-0204,0000,03,3,2000,200910,1,15,000000000,1,01,201312,5,3,02,0,12,690418,39902,39902,S40,
010918275,VFW DEPT OF NORTH DAKOTA LADIES AUXILIARY,% BETTY BECK,215 N LINCOLN ST,NORTHWOOD,ND,58267-4012,5718,19,9,1000,201006,2,00,000000000,5,01,201506,0,0,02,0,06,0,0,0,,2707 NORTHWOOD LADIES AUXILIARY
010950389,NORTHWEST LANDOWNERS ASSOCIATION,% ROBERT N GRANT,6050 OLD HIGHWAY 2,BERTHOLD,ND,58718-9007,0000,06,3,2000,201202,2,00,000000000,1,01,201412,3,3,02,0,12,40454,48260,48260,S41,
010968114,GLENBURN SENIOR CITIZENS INC,,PO BOX 124,GLENBURN,ND,58740-0124,0000,04,3,3000,201411,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,S21,
