EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010158946,SIGMA DELTA SORORITY C/O ERIN ROWELL,,DARTMOUTH COLLEGE 5221 HINMAN,HANOVER,NH,03755-0000,0000,07,3,1000,199508,2,00,036000000,5,01,201406,3,3,01,0,06,28384,66748,66748,,
010174648,ORDER OF THE EASTERN STAR OF NEW HAMPSHIRE GRAND CHAPTER,% ROBIN GRILL TREASURER,PO BOX 8795,PENACOOK,NH,03303-8795,0005,08,6,1000,194005,1,00,036000000,5,01,201309,5,3,01,0,09,753431,94364,94364,,
010188907,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,% CLAYTON WILKINS REC SEC,34 COMMERCIAL DR,BRENTWOOD,NH,03833-6630,0444,05,9,3000,194107,2,00,263264000,5,01,201412,1,1,02,0,12,3894,5468,5468,,1468 LOCAL PAINTERS UNION
010286071,KAPPA DELTA PHI INC,,373 S WILLOW ST STE 111,MANCHESTER,NH,03103-5751,2047,07,6,1000,196911,2,00,059036040,1,01,201408,3,3,01,0,08,27347,88895,88895,,
010340501,COE-BROWN NORTHWOOD ACADEMY,% AMY PAINE,907 FIRST NH TURNPIKE,NORTHWOOD,NH,03261-3201,0000,03,3,1000,201206,1,16,000000000,1,01,201407,0,0,02,0,07,0,0,0,B84,
010361086,EASTERN REGIONAL ASSOCIATION OF ADVENT CHRISTIAN CHURCHES,,PO BOX 1913,ROCHESTER,NH,03866-1913,1428,03,9,7000,195809,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010454657,MOUNTAIN MEADOW RIDERS SNOWMOBILE CLUB,% ROGER J CYR JR TR,PO BOX 342,CONWAY,NH,03818-0342,0000,07,3,1000,201309,2,00,000000000,1,01,201406,3,3,01,0,06,62023,89500,89500,N63,
010461053,KIWANIS INTERNATIONAL INC,% CAROLYN PATTON,PO BOX 6576,PORTSMOUTH,NH,03802-6576,0026,04,9,1300,194007,2,00,040042000,5,01,201409,0,0,02,0,09,0,0,0,,K11620 SEACOAST PORTSMOUTH
010462738,U A LOCAL 716 APPRENTICESHIP AND TRAINING TRUST,% S & A INC,50 ELM ST,MANCHESTER,NH,03101-2710,0000,03,3,2000,201006,1,11,000000000,2,01,201312,5,4,01,0,12,853035,178072,142147,B30,LOCAL 716 TRAINING FUND
010469062,INDEPENDENT SCHOOLS ASSOCIATION OF NORTHERN NEW ENGLAND,% RAYMOND P BOUTIN,PO BOX 115,WEST OSSIPEE,NH,03890-0115,0000,03,3,1200,200712,1,15,205000000,1,01,201406,4,4,01,0,06,150730,438795,437569,B90,ISANNE
010470737,SOCIETY FOR MARKETING PROFESSIONAL SERVICES,% KATHRYN DIONNE - TREASURER,10 CENTRE RD,SOMERSWORTH,NH,03878-2926,3291,06,9,2000,199105,2,00,200000000,1,01,201408,0,0,02,0,08,0,0,0,,NORTHERN NEW ENGLAND CHPTR OF SMPS
010491193,CASCO BAY CHURCH OF CHRIST,% STS CONSULTING LLC,PO BOX 536,ROLLINSFORD,NH,03869-0536,1665,03,9,7000,196404,1,10,001029000,5,01,201312,0,0,06,0,12,,,,X21Z,
010500019,PORTER LAKE ASSOCIATION,% HUGH ROONEY,5 COLLINS CT,PLAISTOW,NH,03865-2555,0000,03,3,1200,200611,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,C32,
010500427,CONNECTIONS FOR KIDS,% JAY WOLTER,PO BOX 325,ORFORD,NH,03777-0325,0000,03,3,1000,199603,1,15,994326327,1,01,201406,6,6,01,0,06,1145232,4348384,4348384,P31,
010502623,NEW ENGLAND ALPACA OWNERS & BREEDERS ASSOC,,294 WALNUT ST,ROCHESTER,NH,03867-4270,0000,05,3,1000,200204,2,00,000000000,1,01,201412,1,3,01,0,12,3847,60582,55928,K26,
010503384,SHAWNEE PEAK HANDICAPPED SKI PROGRAM INC,% SHIRLEY B HOMER,PO BOX 422,PORTSMOUTH,NH,03802-0422,0000,03,3,1000,199605,1,16,995160575,1,01,201412,3,3,02,0,12,43533,37125,37125,P80,
010516157,FRIENDS OF VOICES FROM THE HEART,% JOANNE CONNOLLY,PO BOX 926,PORTSMOUTH,NH,03802-0926,0000,03,3,1000,200610,1,16,000000000,1,01,201408,0,0,02,0,08,0,0,0,K31,
010516202,GRANATE STATE SHETLAND SHEEPDOG CLUB OF SOUTHEAST NH INC,% CYNTHIA WEBSTER,11 DUBEAU DR,DERRY,NH,03038-4808,0000,07,3,1000,201007,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,N50,
010516518,BLUE KNIGHTS MOTORCYCLE CLUB,,PO BOX 126,BARNSTEAD,NH,03218-0126,9222,10,9,1000,198909,2,00,260000000,1,01,201312,0,0,02,0,12,0,0,0,,NH IV
010523710,NORTHEAST CHAPTER 15 ANTIQUE- CLASSIC DIVISION,% KIM BROWN,12 BROWN RD,HAMPTON FALLS,NH,03844-2013,0000,03,3,1200,200206,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,U30,
010538591,WOMEN SINGING OUT,% SUSANNE POLCARI,PO BOX 1553,PORTSMOUTH,NH,03802-1553,0000,03,3,1000,200103,1,16,000000000,1,01,201407,0,0,02,0,07,0,0,0,T30,
010551305,SOUTHERN NEW HAMPSHIRE PARENT-CHILD PROGRAM,% DAVE ANSTEY,PO BOX 991,LONDONDERRY,NH,03053-0991,0000,03,3,3000,200207,2,16,000000000,1,01,201408,0,0,02,0,08,0,0,0,O40,
010561381,LYNCH FAM CHARITABLE FOUNDATION,% WILLIAM STEELE & ASSOCIATES,2 WATCHTOWER RD,HOPKINTON,NH,03229-2819,0000,03,3,1000,200211,1,04,000000000,1,01,201312,6,6,00,1,12,2951523,2128889,,T20,LYNCH JOHN H TTEE
010563728,COVERED BRIDGE AFFORDABLE HOUSING CORPORATION,% DOVER HOUSING AUTHORITY,62 WHITTIER ST,DOVER,NH,03820-2946,0000,03,3,1000,200208,1,15,000000000,1,01,201412,6,4,01,0,12,1879743,206303,206303,L20,
010567247,BABY THREADS,,PO BOX 713,BELMONT,NH,03220-0713,0000,03,3,1000,200209,1,15,000000000,1,01,201212,1,3,02,0,12,7867,39460,39460,E193,CHAMPAGNE BONNIE
010568516,CMC HEALTHCARE SYSTEM,% ALYSON PITMAN GILES,100 MCGREGOR ST,MANCHESTER,NH,03102-3730,0928,03,9,1000,194603,1,17,031150120,5,01,201406,0,0,02,0,06,0,0,0,,
010573568,WHITE MOUNTAIN GATEWAY ECONOMIC DEVELOPMENT CORPORATION,% SHARON YEATON,579 TENNEY MTN HWY,PLYMOUTH,NH,03264-3147,0000,04,3,3000,200306,2,00,000000000,1,01,201412,4,1,02,0,12,222745,1819,1819,S30,
010581780,BROOKLINE HOLLIS YOUTH SOCCER LEAGUE,% WAYNE PINEAU,PO BOX 658,BROOKLINE,NH,03033-0658,0000,03,3,1000,200503,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,N64,
010593775,DOVER HIGH SCHOOL BOYS BASKETBALL BOOSTERS,% ATHLETIC DIRECTOR,12 DIGBY LN,DOVER,NH,03820-4486,0000,03,3,1000,201303,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,B19,
