EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010550649,UNITED LOT OWNERS OF CAMBRIA,% JAMES ENSLEY,4217 JORY TRL,LAS VEGAS,NV,89108-5210,0000,04,3,3000,200305,2,00,000000000,5,01,201212,0,0,02,0,12,0,0,0,L50,
010562781,TORTIE FOUNDATION,% STEPHEN F WITORT,6554 CHAMPETRE CT,RENO,NV,89511-0000,0000,03,3,1000,200305,1,04,000000000,1,01,201409,3,2,00,1,09,60379,19416,,T20,
010564549,SECOND MISSIONARY BAPTIST CHURCH OF PAHRUMP,,3651 HOMESTEAD RD,PAHRUMP,NV,89048-6416,0000,03,3,7000,200205,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010588006,NEVADA ROCK ART FOUNDATION,,641 JONES ST,RENO,NV,89503-5624,0000,03,3,1200,200206,1,15,000000000,1,01,201312,4,4,01,0,12,148135,202028,196606,A40,
010592377,LIGHTHOUSE OF FAITH MINISTRIES,% JUAN GUTIERREZ,PO BOX 363406,N LAS VEGAS,NV,89036-7406,0000,03,3,7000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010596229,NEW DAY CHRISTIAN CHURCH INC,% LEROY ROYBAL,7948 CAPE BRETT ST,LAS VEGAS,NV,89131-4602,0000,03,3,7100,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010633884,MISSIONARY CHURCH IN CHRIST,% FRANCISCO ALCANTARA,145 HUBBARD WAY,RENO,NV,89502-3708,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X990,
010640027,MGM RESORTS FOUNDATION,,840 GRIER RD,LAS VEGAS,NV,89119-3778,0000,03,3,1000,200209,1,15,000000000,1,01,201404,7,6,01,0,04,5980392,4832638,4832638,T30,
010642229,WINNEMUCCA REGIONAL RACEWAY ASSOCIATION,,PO BOX 2331,WINNEMUCCA,NV,89446-2331,0000,04,3,3000,201409,2,00,000000000,1,01,201412,1,3,01,0,12,9174,67200,67200,N50,
010653841,JOHNSON LANE VOLUNTEER FIRE DEPARTMENT,% RICHARD ATWOOD,PO BOX 778,MINDEN,NV,89423-0778,0000,04,3,1000,200512,1,00,000000000,5,01,201412,0,0,02,0,12,0,0,0,M24,
