EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010599364,ZONTA CLUB OF GRANTS PASS OREGON FOUNDATION,,PO BOX 1615,GRANTS PASS,OR,97528-0137,0000,03,3,1000,200304,1,15,000000000,1,01,201312,4,3,01,0,12,283054,52211,48459,P20,
010599489,CANINE ACTION PACK,% MARINA TILRO,23025 NE MOUNTAIN TOP RD,NEWBERG,OR,97132-6639,0000,04,3,2000,200306,2,00,000000000,5,01,201412,0,0,02,0,12,0,0,0,D60,
010614397,EITING FOUNDATION,% ROBERT J PRESTON,707 SW WASHINGTON ST STE 1500,PORTLAND,OR,97205-3532,0000,03,3,1000,200205,1,04,000000000,1,01,201312,3,6,00,1,12,73913,3127383,,T22,
010614561,CHRISTIAN MISSION SULAMITA,% VIKTOR DEZHNYUK,PO BOX 705,CLACKAMAS,OR,97015-0705,0000,03,3,1000,201209,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010615629,AMERICAN VOLKSSPORT ASSOCIATION INC,% JIM WOLF,16004 SW TUALATIN SHERWOOD ROAD 222,SHERWOOD,OR,97140-8521,7124,03,9,2000,198710,1,16,319000000,1,01,201406,0,0,02,0,06,0,0,0,,367 SHERWOOD MERRYWALKERS VOLKSSPOR
010632681,INTERNATIONAL TOY FOX TERRIER HISTORICAL SOCIETY,% SALLY REED,85548 HIGHWAY 339,MILTON FRWTR,OR,97862-7386,0000,03,3,2000,200210,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,A50,
010635961,KLAMATH COUNTY POLICE SERVICE DOG COMMUNITY SUPPORT FUND,% STEVE LEWIS,PO BOX 1908,KLAMATH FALLS,OR,97601-0109,0000,03,3,1000,200207,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,I99,
010661510,LOWER COLUMBIA SECTION OF THE PNCWA,% JOEL BORCHERS,16060 SW 85TH AVE,TIGARD,OR,97224-5582,0000,03,3,1200,201408,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,S80,
010665555,SHIR TIKVAH,% CHARLES ROJENBLUM,1631 NE BROADWAY STE 314,PORTLAND,OR,97232-1425,0000,03,3,7000,200204,1,10,000000000,1,01,,0,0,06,0,06,,,,X21,
010690895,GREEN ACRES PARENT AND TEACHER CLUB,% GREEN ACRES ELEMENTARY SCHOOL,700 S 10TH ST,LEBANON,OR,97355-1300,0000,03,3,1000,200210,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,B94,
010692263,GROVES PARENT TEACHER CLUB,% CHANTE KILLIAN,1500 NW OAK GROVE DR,ALBANY,OR,97321-9209,0000,03,3,1000,200406,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,,
010696988,NORTH COAST SYMPHONIC BAND ASSOCIATION,% JUDITH SHATTO,35185 ORCHARD LN,ASTORIA,OR,97103-8339,0000,03,3,2000,200410,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A69,
010715181,RIVER RESTORATION NORTHWEST INC,% TERRIL STEVENSON,PO BOX 56315,PORTLAND,OR,97238-6315,0000,03,3,1000,200308,1,15,000000000,1,01,201406,3,4,01,0,06,97125,310618,310618,B03,
010716814,TOASTMASTERS INTERNATIONAL,% ERIC A WINGER,11090 SW 131ST PL,TIGARD,OR,97223-1985,0820,03,9,2000,194505,1,16,059319000,1,01,201412,0,0,02,0,12,0,0,0,,9459 FEEDBACKERS TOASTMASTERS CLUB
010726380,BRIGHT FUTURES FOUNDATIONS,% CATHERINE DAVIS,PO BOX 248,MURPHY,OR,97533-0248,0000,03,3,1200,200305,1,15,000000000,1,01,201412,4,3,01,0,12,119045,82451,76417,B82,
010731775,MISSION DENTAL FOUNDATION INC,% AUSTIN INDUSTRIES,PO BOX 772,NEWBERG,OR,97132-0772,0000,03,3,1000,200210,1,16,000000000,1,01,201406,4,5,01,0,06,254255,913286,913286,S20,
010739266,NEW LIFE FELLOWSHIP OF SCAPPOOSE INC,,33470 CHINOOK PLAZA 157,SCAPPOOSE,OR,97056-3726,1675,03,9,7000,196408,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010742572,TOASTMASTERS INTERNATIONAL,% KHADIJEH ROYA BEHBEHANI,4329 NE 80TH AVE,PORTLAND,OR,97218-4213,0820,03,9,2000,194505,1,16,059319000,1,01,201412,0,0,02,0,12,0,0,0,,5352 AMERICAN RED CROSS OREGON TRAI
010743326,HILLSBORO VINEYARD CHURCH,% KEVIN J BENSON,PO BOX 762,HILLSBORO,OR,97123-0762,0000,03,3,7000,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010746051,INFORMATION SYSTEMS SECURITY ASSOCIATION,% DEBRA BAKER,9220 SW BARBUR BLVD 119-333,PORTLAND,OR,97219-5428,9481,06,9,1000,198507,2,00,205000000,1,01,201412,3,4,01,0,12,41894,104421,104421,,RALEIGH CHAPTER
010751176,WILSONVILLE 2 FOURSQUARE CHURCH,% NORTH PACIFIC DISTRICT,8440 SE SUNNYBROOK BLVD STE 200,CLACKAMAS,OR,97015-5782,1061,03,9,7000,194910,1,10,325059927,5,01,201312,1,3,06,0,12,3280,80734,80734,,
010755594,SCHOOL GARDEN PROJECT OF LANE COUNTY,% JARED PRUCH,PO BOX 30072,EUGENE,OR,97403-1072,0000,03,3,1230,200303,1,15,000000000,1,01,201408,3,4,01,0,08,95605,180542,178272,C42,
010757719,HEALTHY FORESTS HEALTHY COMMUNITIES,,5100 SW MACADAM AVE STE 350,PORTLAND,OR,97239-3877,0000,04,3,1000,200306,2,00,000000000,1,01,201412,4,4,01,0,12,289465,330000,330000,C36,
010757957,DEPARTEMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,% SONJA MORGENTHALER,PO BOX 1998,REDMOND,OR,97756-0523,5743,19,9,1000,201007,2,00,000000000,5,01,201406,3,3,01,0,06,74516,59188,36657,W30,4108 DESCHUTES LADIES AUXILIARY
010765884,NORTH CLACKAMAS CHRISTIAN SCHOOL,% JULIA PHIPPS ADMIN,19575 SEBASTIAN WAY,OREGON CITY,OR,97045-8128,0000,03,3,2700,200411,1,11,000000000,1,01,201406,5,6,01,0,06,537082,1503857,1442018,B25,
010777882,COMMUNITY HOUSING III INC,% ROBERT MAHJOR,4150 SW MOODY AVE,PORTLAND,OR,97239-4417,0000,03,3,1000,200308,1,15,000000000,1,01,201412,6,4,01,0,12,2878013,154241,154241,L20,
010778376,OAK HILLS SOCCER CLUB,% MICHAEL R PETITT,PO BOX 91608,PORTLAND,OR,97291-0016,0000,03,3,1000,200309,1,16,000000000,1,01,201412,3,3,01,0,12,65419,68728,68728,N64,
010793620,WALWORTH MUSIC FOUNDATION,% DIANE WALWORTH,308 E 10TH ST,THE DALLES,OR,97058-2360,0000,03,3,2000,200412,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B11,
010799951,TIGARD BLAST ASA,% LESLIE OPPAT,PO BOX 230245,PORTLAND,OR,97281-0245,0000,03,3,2100,200411,1,15,000000000,1,01,201412,1,3,02,0,12,7026,35256,35256,N63,
010815770,BRIDAL VEIL HISTORICAL PRESERVATION SOCIETY,% GERALDINE CANZLER,PO BOX 1,BRIDAL VEIL,OR,97010-0001,0000,03,3,1000,200903,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A80,
010818045,SALISA BANA,% JACKY MWANA-NTEBA,11720 SE FULLER RD,MILWAUKIE,OR,97222-1400,0000,03,3,1000,200509,1,15,000000000,1,01,201312,4,4,01,0,12,113417,111102,111102,B20,
010822580,W VERNE MCKINNEY PTO,% MCKINNEY ELEMENTARY SCHOOL,535 NW DARNIELLE ST,HILLSBORO,OR,97124-2214,0000,03,3,1200,200505,1,16,000000000,1,01,201407,0,0,02,0,07,0,0,0,B94,
010824856,MCKEE BRIDGE HISTORICAL SOCIETY,% ROBERT VAN HEUIT,PO BOX 854,JACKSONVILLE,OR,97530-0854,0000,03,3,2000,200508,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A80,
010836605,SUNSET APOLLO SOFTBALL CLUB,% DAN OLEARY,750 NW 110TH AVE,PORTLAND,OR,97229-6104,0000,03,3,1200,200506,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,N63,
010838585,AMATEUR ATHLETIC UNION OF THE UNITED STATES,% COLLEEN POLK,3826 ASHFORD DR,EUGENE,OR,97405-6228,1155,03,9,1200,196601,1,15,059000000,5,01,201408,0,0,02,0,08,0,0,0,,OREGON AAU
