EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010687146,INTERNATIONAL ASSOCIATION OF ADMINISTRATIVE PROFESSIONALS,% ARACELIS DIAZ,B23 CALLE PEPIN CASANOVAS,HATILLO,PR,00659-1908,9360,06,9,2000,198508,2,00,200000000,1,01,201206,0,0,02,0,06,0,0,0,,448000 PUERTO RICO-VIRGIN IS DIV
010709908,HOGARES AMPARO INC,% CARMEN M CRUZ RIVERA,800 HIOODROMO ST STE 105,SAN JUAN,PR,00909-0000,0000,03,3,1000,200407,1,04,000000000,1,01,201306,1,1,00,1,06,2569,236,,P43,
043700254,IGLESIA EVANGELICA MISIONERA FUERZA AGAPE,% ROBERT RANSOM,PO BOX 580,SAN ANTONIO,PR,00690-0580,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
060602997,TITI MILLIE DAY CARE INC,,PO BOX 1347,GUANICA,PR,00653-1347,0000,03,3,1000,200206,1,15,000000000,1,01,201409,3,4,01,0,09,73456,255778,255778,P33,
133779420,SOCIEDAD ECONOMICA DE AMIGOS DEL PAIS INC,% C/O CORP,PO BOX 365051,SAN JUAN,PR,00936-5051,0000,03,3,1000,199604,1,15,994120481,1,01,201312,0,0,02,0,12,0,0,0,R40,
166077141,MYCOLOGICAL SOCIETY OF AMERICA THE,% SHARON A CANTRELL,PO BOX 3030,GURABO,PR,00778-3030,0000,03,3,8000,196504,1,16,161180000,5,01,201412,6,5,01,0,12,1464025,531801,531801,,
205057391,PETS ALIVE PUERTO RICO,% VIRGINIA CORNETT,PO BOX 1904,UTUADO,PR,00641-1904,0000,03,3,1000,200704,1,15,000000000,1,01,201312,4,4,01,0,12,339365,193534,193534,D20,
205635400,UPRISING,% SARAH STEIN,PO BOX 142173,ARECIBO,PR,00614-2173,0000,03,3,1200,200807,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,P20,
223275938,PADMASAMBHAVA BUDDHIST CENTER OF PUERTO RICO,% NESTOR KUILAN,1453 ALFONSO AVE,ALTAMIRA RIO PIEDROS,PR,00921-0000,9243,03,9,7000,199209,1,10,001029123,5,01,,0,0,06,0,12,,,,,
223480547,IGLESIA PENTECOSTAL VIDA Y VERDAD DE LAS ASAMBLEAS DE DIOS,% BARBARA NIEVES,PO BOX 2877,GUAYAMA,PR,00785-2877,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
236437978,OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION,% ESTHER ROSARIO,506 OJ 10 COUNTRY CLUB 4TA EXT,CAROLINA,PR,00982-0000,0940,05,9,3000,201401,0,00,263059264,5,01,,0,0,01,0,02,,,,,1971 OPEIU
237034732,ASOCIACION PUERTORRIQUENA PRO BIENESTAR DE LAS FAMILIAS INC,,PO BOX 192379,SAN JUAN,PR,00919-2379,0000,03,3,1200,195709,1,15,602059000,5,01,201312,6,6,01,0,12,4206007,3420587,3420587,,
237050819,ARNOLD AIR SOCIETY-SILVER WINGS,% UNIV OF PUERTO RICO MAYAGUEZ,BOX 5171 BAMBU STREET,MAYAGUEZ,PR,00681-0000,1224,04,9,3000,197001,2,00,059000000,5,01,201505,0,0,02,0,05,0,0,0,,756 AFROTC DET
237056835,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% JOMAR GONZALEZ-BERNARD,286 NUNEZ PRIETO VILLA PALMERAS,SAN JUA,PR,00915-0000,0239,04,9,3000,197104,2,00,279319000,5,01,201206,0,0,02,0,06,0,0,0,,14488 SABANA LLANA LIONS CLUB
237057588,TAU BETA PI ASSOCIATION INC,% LIONEL ORAMA-EXCLUSA,CALL BOX 9000,MAYAGUEZ,PR,00681-0000,0782,07,9,1000,197003,2,00,059319000,5,01,201405,0,0,02,0,05,0,0,0,,PUERTO RICO ALPHA CHAPTER
237060470,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% ROSA RODRIGUEZ,AFGE-HUD 235 CALLE FEDERICO COSTA,SAN JUAN,PR,00918-0000,0194,05,9,3000,194010,2,00,263264279,5,01,201412,0,0,02,0,12,0,0,0,,2837 AFGE-HUD LOCAL
237069724,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% EVA CANDELARIO,URB VILLA VERDE 3RD ST G-40,BAYAMON,PR,00959-0000,0194,05,9,3000,194010,2,00,263269265,5,01,201212,0,0,02,0,12,0,0,0,,2951 LOCAL AFGE SBA
237071078,ALPHA PHI OMEGA,% UNIVERSITY OF PUERTO RICO MAYAGZ,PO BOX 643,LAS MARIAS,PR,00670-0643,1113,03,9,1000,196606,1,16,036000000,5,01,,0,0,01,0,12,,,,P20,UPSLN MU
237094624,UNITED STEELWORKERS,% ANGEL COLON ORTIZ,PO BOX 363845,SAN JUAN,PR,00936-3845,0260,05,9,3000,197107,2,00,263264279,5,01,201412,0,0,02,0,12,0,0,0,,07797 LOCAL
237116709,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% CARMEN CARDONA /CLUB DE LEONES,DD16 CALLE E,LUQUILLO,PR,00773-2629,0239,04,9,3000,197104,2,00,279319000,5,01,201406,0,0,02,0,06,0,0,0,,14470 LUQUILLO LIONS CLUB
237116743,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% CARMEN ORTIZ-OLIVEN,T17 CALLE 30,TRUJILLO ALTO,PR,00976-2106,0239,04,9,3000,197104,2,00,279319000,5,01,201406,1,1,02,0,06,670,1727,1727,,14431 SANTURCE LIONS CLUB
237128019,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% PAULINO DORTA PEREZ,PO BOX 141678,ARECIBO,PR,00614-1678,0239,04,9,3000,197109,2,00,279319000,5,01,201206,0,0,02,0,06,0,0,0,,14377 ARECIBO CAPITAN CORREA LIONS
237157589,FUTURE BUSINESS LEADERS OF AMERICA PHI BETA LAMBDA INC,% MYRNA GARCIA,PO BOX 190759,SAN JUAN,PR,00919-0759,2205,03,9,2000,197110,1,16,059200205,5,01,,0,0,02,0,06,,,,,PUERTO RICO CHAPTER
237176806,UNITED STEELWORKERS,% RAMONITA FIGUEROA,PO BOX 6828,BAYAMON,PR,00960-5828,0260,05,9,3000,194012,2,00,263059269,5,01,201412,4,4,01,0,12,216418,130365,130365,,06135 LOCAL
237208610,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN INC,% JOANNE MARTI,PARQUE DE BUCARE B-2 BROMELIA,GUAYNABO,PR,00969-0000,5649,04,9,3000,201003,2,00,161180059,5,01,201406,0,0,02,0,06,0,0,0,B82O,SAN JUAN
237247277,SOUTHEASTERN MENNONITE CONFERENCE INC,,HC 1 BOX 3321,FLORIDA,PR,00650-9506,0000,03,3,7000,197308,1,10,001000000,1,01,,0,0,06,0,06,,,,,
237259899,INTEGRAL DE LOIZA CONCILIODE SALUD,,PO BOX 509,LOIZA,PR,00772-0509,0000,03,3,1000,197312,1,15,998000000,1,01,201406,8,8,01,0,06,27732586,27710612,27710612,,
237282006,DISABLED AMERICAN VETERANS,% DISABLED AMERICAN VETERANS,PO BOX 5336,CAGUAS,PR,00726-5336,0000,04,3,1000,201205,1,00,264927160,5,01,200912,0,0,01,0,06,0,0,0,,5 CAQUAS
237282007,MAYAGUEZ CHAPTER 6 DEPARTMENT OF PUERTO RICO DISABLED AMERICAN,% PEDRO ESTRADA,PO BOX 6775,MAYAGUEZ,PR,00681-6775,0557,04,9,3000,194206,1,00,908279265,5,01,201406,0,0,02,0,06,0,0,0,,6 MAYAGUEZ
237282008,DISABLED AMERICAN VETERANS,% ANGEL L RODRIGUEZ,PO BOX 746,CEIBA,PR,00735-0746,0557,04,9,3000,194206,1,00,908279265,5,01,201406,0,0,02,0,06,0,0,0,,7 FAJARDO
237282009,DISABLED AMERICAN VETERANS,% DISABLED AMERICANS VETERANS,CALLE ESPERANZA 14,ARROYO,PR,00714-0000,0557,04,9,3000,194206,2,00,264927160,5,01,201506,0,0,02,0,06,0,0,0,,8 ARROYO
