EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010310533,VISUAL EDUCATION CENTER INC,,15 HIGHLAND VIEW RD,CUMBERLAND,RI,02864-1124,0000,03,3,2000,196505,1,09,030160000,5,01,201412,0,0,02,0,12,0,0,0,,
010342663,HELEN F WYLIE FOUNDATION,% MAINE NATIONAL BANK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197611,1,04,040041043,2,01,201412,4,3,00,1,12,498688,98121,,,
010351827,HELEN R COE TRUST,% MAINE NATIONAL BK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197712,1,04,040119602,2,01,201403,6,6,00,1,03,2147387,1043372,,,
010352472,ST AUGUSTINE TRUST FUND 40-6130848230,,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197804,1,04,560561602,2,01,201412,3,2,00,1,12,32527,10281,,,
010370716,SPURWINK-RI,% RAYMOND A ARSENAULT,1 SPURWINK PL,CRANSTON,RI,02910-2012,5573,03,6,2000,200909,2,11,046030031,5,01,201312,6,7,01,0,12,1282571,6770616,6770616,F33Z,
010500483,LEONE R MURRAY TRUST UART 4,% FLEET PRIVATE CLIENTS GROUP,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199907,1,04,000000000,2,01,201412,4,3,00,1,12,152141,66759,,A120,
010504173,MARGARET & DON MATHESON SCHOLARSHIP FUND,% CHESTER W STERCZEK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,2000,201408,1,04,000000000,2,01,201412,5,4,00,1,12,603806,101643,,B82,
010515885,LIDA P UNDERHILL CHARITABLE TR,% FLEET NATIONAL BANK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199905,1,04,000000000,2,01,201412,4,3,00,1,12,283374,94456,,T22,
010517029,TRUST AGREEMENT FOR POST-RETIREMENT MEDICAL PLAN FOR UNION EMPLOYEES O,% KATHLEEN CASE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199812,2,00,000000000,2,01,201412,8,8,01,0,12,21832903,12385819,1476642,Y99,CNTRL ME PWR CO UNION RETE MED VEBA
010517035,TRUST AGREEMENT FOR THE POST- RETIREMENT MEDICAL PLAN FOR NON-,% BANK OF AMERICA,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199812,2,00,265000000,2,01,201412,7,6,01,0,12,8802211,4897791,619703,,CTRL ME PWR CO NON-UNI RET MED VEBA
