EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010319131,SIGMA DELTA PI,% MARK P DEL MASTRO,3 BAINBRIDGE DR,CHARLESTON,SC,29407-4213,0000,03,3,1000,199906,1,16,059000000,1,01,201408,6,4,01,0,08,1204329,142497,142497,O20,
010511365,THE ANO CHARITABLE FOUNDATION TRUST,% H P ANO AND P NOCE,9 WOODSTORK WATCH CALLAWASSIE,OKATIE,SC,29909-0000,0000,03,3,1000,199707,1,04,602000000,2,01,201412,4,4,00,1,12,406125,190603,,T22Z,
010518429,ATLANTIC RESIDENTIAL RESOURCE,% ALAN J PETHICK,PO BOX 32,BEAUFORT,SC,29901-0032,0000,03,3,1000,199902,1,04,000000000,1,01,201412,5,4,00,1,12,635402,173357,,P20,
010552985,PALMETTO INNOCENCE PROJECT,% JOSEPH M MCCULLOCH,1426 RICHLAND ST,COLUMBIA,SC,29201-2520,0000,03,3,1200,200202,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,I80,
010553362,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,HIGHLAND LAKES CHAPTER TX
010553420,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,MID-CITIES THUNDER GOBBLERS TX
010553527,ALLIANCE OF DIVINE LOVE INC,% REV SANDRA TRIPONEY,PO BOX 6384,GREENVILLE,SC,29606-6384,3054,03,9,7000,197702,1,10,001000000,5,01,,0,0,06,0,12,,,,,1281
010553641,SOUTH CAROLINA UNITED METHODIST CAMPS AND RETREAT MINISTRIES,,5 CENTURY DR STE 250,GREENVILLE,SC,29607-1572,2573,03,9,7100,197410,1,10,001919000,5,01,201312,7,6,06,0,12,5130078,1112195,1112195,,
010553856,BACK TO LIFE ECCLESIASTIC CHURCH OF GOD,% JACQUELINE PATRICIA SELLERS,PO BOX 212,HAMER,SC,29547-0212,0000,03,3,7000,201410,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010554223,POTTERS CHRISTIAN LIFE MINISTRIES,% GREGORY A FORMEY,PO BOX 21685,COLUMBIA,SC,29221-1685,0000,03,3,7000,200501,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010566047,UPPER ROOM EVANGELISTIC HOUSE OF PRAYER,% KENNETH S PINCKNEY,271 SAINT JULIAN DR,CROSS,SC,29436-3116,0000,03,3,7000,200212,1,10,000000000,1,01,,0,0,06,0,12,,,,X200,
010577711,NEW BEDFORD BAPTIST CHURCH INC,% JURSHWAY JACKSON,PO BOX 160158,BOILING SPGS,SC,29316-0004,0000,03,3,7000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010583522,SIGMA ALPHA EPSILON SOUTH CAROLINA BETA,%,800 UNIVERSITY WAY STE CLC 224,SPARTANBURG,SC,29303-4932,0000,07,3,1000,201412,2,00,036279319,5,01,201212,1,2,02,0,12,1655,17592,18719,,
010593081,HOLY TEMPLE BUILDING & TR FUND,% MELVIN SAMUEL,5722 MAIN ST,COLUMBIA,SC,29203-6223,0000,03,3,7100,200606,1,15,000000000,1,01,,0,0,13,0,07,,,,X02,
010593969,SOUTH CAROLINA ALPHA PHI FRATERNITY LEADERSHIP EDUCATIONAL & PREVENTIO,% LEWIS HICKS,PO BOX 354,COLUMBIA,SC,29202-0354,0000,03,3,1000,201202,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,V21,
010596759,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,1,16,350000000,1,01,,0,0,02,0,08,,,,,THURSTONFARM 8THANNUALPHEASANTSHOOT
010596770,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,GAULKLER POINT GOBBLERS MI
010596800,NATIONAL WILD TURKEY FEDERATION,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,193202,0,16,000000000,1,01,,0,0,02,0,08,,,,,LL BEAN WITO CHAPTER ME
010596817,NATIONAL WILD TURKEY FEDERATION,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,1,16,350000000,1,01,,0,0,02,0,08,,,,,PETITE BAYOU BABES WITO LA
010596844,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,000000000,1,01,,0,0,02,0,08,,,,,KANSAS STATE CHAPTER
010596890,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,SOUTH CENTRAL IOWA STRUTTERS IA
010596895,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,1000,199302,0,16,350000000,1,01,,0,0,01,0,08,,,,,OAK TREE GOBBLERS WI
010596915,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,FLOYD COUNTY TURKEY TRACKERS IA
010596938,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY CHARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,MINOCQUA AREA THUNDERING TOMS
010596963,NATIONAL WILD TURKEY FEDERATION,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,1,16,350000000,1,01,,0,0,02,0,08,,,,,BOONE CO CONSVBOARD SCENIC VALLEY
010596975,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,WALTON LONGBEARDS GA
010596980,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,01,0,08,,,,,RIVER CITY GOBBLERS GA
010597008,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,FIGHTINGTOWN CREEK GA
010597031,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,EAST VOLUSIA LONGBEARDS FL
010597051,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,1,16,350000000,1,01,,0,0,02,0,08,,,,C300,NIANTIC SPORTSMANS SHORELINE STRUTT
010598486,RHEMA WORD FULL GOSPEL MINISTRIES,% PERRY L HARRINGTON PASTOR,801 ROBBINS ST,CHERAW,SC,29520-2832,0000,03,3,7000,200210,1,10,000000000,1,01,,0,0,06,0,02,,,,X21,
010599365,LIFE SIMPLIFIED CENTER INC,% EDWIN D WRIGHT,108 SPRINGHALL DR,GOOSE CREEK,SC,29445-5335,0000,03,3,7000,200404,1,10,000000000,1,01,,0,0,06,0,03,,,,X21,
010601258,KNIGHTS HOSPITALLER FOUNDATION,% DN STERN,244 SANDY RUN DR,GREER,SC,29651-7409,0000,03,3,1000,200209,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,E99,
010606438,JAMES GRIER AND LAURA EASTERBY FERG USON MEDITATION GARDEN,% WILLIAM C COOPER TREASURER,PO BOX 1338,LAURENS,SC,29360-1338,0000,03,3,1000,200207,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,E60,
010606946,SOUTH CAROLINA HISPANIC LATINO HEALTH COALITION,,PO BOX 722,COLUMBIA,SC,29202-0722,0000,03,3,1200,200309,1,15,000000000,1,01,201412,3,1,02,0,12,39085,3569,3569,P84,
010607210,BETHANY BAPTIST CHURCH,% JANICE P WARD,263 HOLLY VIEW LN,LORIS,SC,29569-6905,1651,03,9,7000,196404,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010608924,INDEPENDENT ORDER OF ODD FELLOWS,% VEROINCA RUCKER,10 FORTNER ST,GREENVILLE,SC,29611-3617,0028,08,9,1000,196205,1,00,036382265,5,01,201204,0,0,02,0,04,0,0,0,,1 HENRY LAURENS LDG
010610140,CHINESE CULTURE CENTER,% LEA WALKER,1708 GREENE ST,COLUMBIA,SC,29201-4015,0000,03,3,2100,200206,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A70,
010617921,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,TEAM CAMO MN
