EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010430328,KANZEON INC,,3575 SOUTH WEST TEMPLE,SALT LAKE CITY,UT,84115-4451,0000,03,3,7000,198809,1,10,001029000,1,01,,0,0,06,0,12,,,,,
010550223,ASSOCIATION OF FORENSIC QUALITY ASSURANCE MANAGERS,% ALEXIS BROWN,PO BOX 651654,SALT LAKE CTY,UT,84165-1654,0000,03,3,1000,200501,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,S41,
010584107,YOUTH DRIVING FOR VALUES,% PAUL PUGMIRE,680 W 3300 S,S SALT LAKE,UT,84119-3320,0000,03,3,1000,200209,1,15,000000000,1,01,201412,3,4,01,0,12,35698,140062,140062,N6A,
010589975,BLANDING COMMUNITY LEGACY TRUST,% BRETT HOSLER,50 W 100 S,BLANDING,UT,84511-3743,0000,03,3,1000,200206,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,T31,
010600848,LEGACY CHARITABLE FOUNDATION,% DAVID J BROMLEY,716 EAST 4500 SOUTH NO 260,MURRAY,UT,84107-3080,0000,03,3,1000,200512,1,17,000000000,1,01,201312,3,1,02,0,12,67950,32,32,T20,
010627411,HARMONY VALLEY VOLUNTEER FIRE ASSOCIATION,% SANDY JIMERSON,PO BOX 621,NEW HARMONY,UT,84757-0621,0000,03,3,1000,201409,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,M19,
010660932,WORLD CONGRESS OF HERPETOLOGY,% ALAN SAVITZKY,1054 SUMAC DR,LOGAN,UT,84321-4814,0000,03,3,2000,200211,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,B03,
010674266,UTAH COUNTY SHERIFFS COMMUNICATION AUXILLARY TEAM,% WADE STARKS,3075 N MAIN ST,SPANISH FORK,UT,84660-9506,0000,03,3,1000,200802,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,M23,
010682379,NATIONAL EXCHANGE CLUB,% RENEE MILLER,5595 S STATE ST,MURRAY,UT,84107-6076,1097,04,9,1000,195009,2,00,059328000,5,01,201506,0,0,02,0,06,0,0,0,,2765 MURRAY UT
010690693,LAWRENCE SOUTH IRRIGATION COMPANY,% TY WILSON,PO BOX 1203,HUNTINGTON,UT,84528-1203,0000,12,3,2000,200303,2,00,000000000,1,01,201502,0,0,02,0,02,0,0,0,K20,
