EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010180687,WINDSOR IMPROVEMENT CORPORATION,% HAROLD PYKE,PO BOX 66,WINDSOR,VT,05089-0066,0000,03,3,1000,200211,1,15,000000000,1,01,201406,3,3,01,0,06,59929,77568,77568,S30,
010471151,REGULATORY ASSISTANCE PROJECT,% FREDERICK W WESTON II DIRECTOR,50 STATE ST,MONTPELIER,VT,05602-2957,0000,03,3,1000,199208,1,15,149000000,1,01,201312,7,8,01,0,12,5041223,10070998,10070998,C40Z,
010472275,NEW ENGLAND MUNICPAL CLERKS INSTITUTE & ACDEMY,% DONNA KELTY,PO BOX 124,WEBSTERVILLE,VT,05678-0124,0000,03,3,2000,199506,1,16,059123149,1,01,201412,3,3,01,0,12,69112,72428,72428,B60Z,
010477341,NORTHERN NEW ENGLAND SOCIETY OF ENROLLED AGENTS,% DON S STOHL,PO BOX 220,RANDOLPH,VT,05060-0220,0000,06,3,2000,199610,2,00,205000000,1,01,201406,0,0,02,0,06,0,0,0,,
010477533,NORTHERN NEW ENGLAND SCHOOL OF BANKING,% MAINE BANKERS ASSOC,PO BOX 587,MONTPELIER,VT,05601-0587,0000,03,3,2000,199308,1,16,149000000,1,01,201412,3,4,01,0,12,87046,100577,100577,A20Z,
010532229,NEW ENGLAND RURAL HEALTH ROUNDTABLE,,PO BOX 72,STARKSBORO,VT,05487-0072,0000,03,3,2000,200102,1,15,000000000,1,01,201312,5,4,01,0,12,508910,407129,407129,E99,
010552272,VERMONT FLOOR HOCKEY INC,% MARIO DUPIGNY-GIROUX,PO BOX 462,WILLISTON,VT,05495-0462,0000,07,3,1000,200209,2,00,000000000,1,01,201412,0,0,02,0,12,0,0,0,N60,
010558737,BATTEN KILL WATERSHED ALLIANCE INC,,PO BOX 734,ARLINGTON,VT,05250-0734,0000,03,3,2100,200209,1,15,000000000,1,01,201412,2,3,02,0,12,15153,42805,41055,A80,
010565606,TIMMYS KIDS INC,% LISA BOVAT CLARK,108 MOUNTAIN VIEW DRIVE,SWANTON,VT,05488-0000,0000,03,3,1000,200210,4,16,000000000,1,01,201312,3,1,02,0,12,44030,9281,9281,P30,
010569069,COLCHESTER FOOTBALL BOOSTERS ASSOCIATION INCORPORATED,% JAYNE GAMACHE,PO BOX 618,COLCHESTER,VT,05446-0618,0000,03,3,1000,200207,1,16,000000000,1,01,201312,3,3,01,0,12,93975,54500,54500,B112,
